shipment_id,tracking_number,order_id,customer_id,customer_name,shipment_type,carrier,status,origin_city,origin_country,destination_city,destination_country,package_weight_kg,package_dimensions_cm,declared_value_eur,shipping_cost_eur,insurance_cost_eur,pickup_date,estimated_delivery_date,actual_delivery_date,warehouse_id,driver_id,distance_km,delivery_attempts,signature_required,customer_satisfaction_score,delay_reason,damage_reported,claim_filed,claim_amount_eur,co2_emissions_kg,is_international,created_at
SHP-202300010,TRK562795859322,ORD-4646282,CUST-123750,Petra Hoffmann,International,Hermes,Out for Delivery,Dusseldorf,GERMANY,Berlin,Austria,18.11,103x94x66,2445.66,56.35,0.0,2022-12-13,01 Dec 2023,2024-09-27,WH-CGN,DRV-6007,15,5,True,,,False,False,0.0,98.11,True,2023-07-24 07:13:00
SHP-202300011,TRK310226186245,ORD-3739328,CUST-181102,Christina Schulz,Freight,Hermes,Delivered,Stuttgart,DE,Paris,Austria,20.34,95x53x48,1849.86,-88.79,0.0,12-06-2023,30-01-2023,2022-12-19,WH-BER,DRV-5552,1491,4,False,1.0,,True,False,0.0,15.5,True,2023-01-23 15:31:00
SHP-202300012,TRK238386465303,ORD-7448735,CUST-154618,Mia Osei,International,DPD,Lost,Bremen,Deutschland,Zurich,Germany,27.32,148x46x8,2281.46,61.73,3.59,2023-02-23,2025-04-27,08/11/2024,WH-DRS,DRV-2061,60,4,True,4.0,Strike,False,False,0.0,90.13,False,2023-08-27 09:06:00
SHP-202300013,TRK294950436498,ORD-6089143,CUST-972125,Max Becker,Standard,Hermes,Attempted,Leipzig,Deutschland,Leipzig,NL,31.79,18x98x60,2963.0,65.21,24.68,2025-10-03,2024-04-11,2023-07-08,WH-MUC,DRV-1394,1021,2,True,,Weather,False,False,0.0,65.66,True,2023-04-10 09:28:00
SHP-202300014,TRK638870108457,ORD-9368743,CUST-390195,Mia Sowah,Freight,GLS,Delivered,Dusseldorf,Deutschland,Dortmund,FR,5.51,24x25x46,1763.6,21.96,0.0,12/18/2023,2023-08-21,2023-03-07,WH-HAM,DRV-3268,123,2,True,,Incorrect Address,False,False,2559.11,76.99,False,2023-08-24 17:45:00
SHP-202300015,TRK947195848418,ORD-6174181,CUST-312292,Michael Bauer,Same Day,DPD,Pending,Bremen,GERMANY,Leipzig,CH,4.44,116x69x49,4651.68,43.66,0.0,2024-10-05,27 Feb 2023,2023-11-25,WH-DRS,DRV-4077,227,1,True,3.0,Customs Delay,True,False,0.0,37.64,True,2023-02-02 17:00:00
SHP-202300016,TRK151455181318,ORD-5167208,CUST-604322,Christina Hoffmann,Next Day,Hermes,Attempted,Munich,Deutschland,Dusseldorf,CH,9.0,121x22x34,4967.53,69.16,2.56,2025-06-28,2024-10-24,2023-01-05,WH-HAM,DRV-1570,1478,4,True,1.0,,False,True,0.0,82.14,False,2023-07-05 20:54:00
SHP-202300017,TRK118563738225,ORD-8885312,CUST-456483,Lukas Meyer,International,Hermes,DELIVERED,Munich,Deutschland,Bremen,Switzerland,39.45,20x57x33,3318.44,76.13,0.0,19/12/2024,2025-08-07,2023-05-23,WH-DRS,DRV-6212,408,3,True,5.0,Recipient Not Available,True,True,0.0,53.07,False,2023-05-02 04:31:00
SHP-202300018,TRK244869782659,ORD-9110045,CUST-655350,Anna Weber,Express,DB Schenker,Lost,Dortmund,Deutschland,Leipzig,Czech Republic,6.88,59x98x9,3169.38,77.4,0.0,2023-08-26,2023-04-13,09/23/2025,WH-FRA,DRV-2335,794,1,True,1.0,Customs Delay,False,False,988.13,79.49,True,2023-10-23 18:39:00
SHP-202300019,TRK506603110419,ORD-5337447,CUST-392360,Sabine Fischer,Standard,GLS,Returned,Dusseldorf,Deutschland,Cologne,Poland,27.53,136x91x31,811.18,44.63,24.28,2023-11-11,2023-04-22,2025-12-27,WH-BER,DRV-9460,529,4,True,,,False,False,0.0,41.76,False,2023-07-09 19:41:00
SHP-202300020,TRK847750201181,ORD-2457410,CUST-194412,David Bauer,Economy,UPS,Failed,Cologne,GERMANY,Warsaw,CZ,19.0,62x30x13,3410.96,38.55,18.68,2022-06-24,2022-08-22,28/03/2023,WH-FRA,DRV-4154,118,2,False,5.0,Recipient Not Available,True,False,0.0,84.99,True,2023-01-05 23:49:00
SHP-202300021,TRK109333471839,ORD-3904008,CUST-947674,Max Osei,Freight,UPS,Pending,Berlin,Deutschland,Bremen,Switzerland,27.91,135x87x60,4387.07,37.98,0.0,18-06-2023,2025-02-12,20 Jun 2024,WH-CGN,DRV-4772,1321,4,False,,Traffic,True,True,0.0,65.18,False,2023-04-01 15:59:00
SHP-202300022,TRK653050011893,ORD-7689056,CUST-193015,Sarah Boateng,Same Day,UPS,Delivered,Leipzig,DE,Zurich,France,5.35,29x65x66,2683.13,83.38,0.0,2023-06-14,2024-05-16,2022-12-08,WH-DRS,DRV-4696,569,2,False,,Recipient Not Available,True,True,0.0,99.8,True,2023-07-25 06:57:00
SHP-202300023,TRK667211015215,ORD-8718064,CUST-855090,Emma Meyer,Standard,DHL,delivered,Dortmund,Germany,Berlin,FR,43.5,34x46x12,3167.52,64.36,3.7,2023-12-28,2023-07-28,2022-07-04,WH-FRA,DRV-2790,859,2,True,,Vehicle Breakdown,False,True,0.0,26.48,False,2023-05-17 16:25:00
SHP-202300024,TRK990240506853,ORD-6927869,CUST-932103,Leon Meyer,Next Day,Amazon Logistics,Pending,Hanover,GERMANY,Munich,GERMANY,8.04,85x97x44,190.64,68.96,0.0,2024-10-02,2022-09-06,2025-07-15,WH-CGN,DRV-1496,1327,4,False,,,False,False,0.0,64.92,False,2023-08-01 13:14:00
SHP-202300025,TRK136175302537,ORD-1015125,CUST-659935,Petra Schneider,International,DB Schenker,Out for Delivery,Duisburg,Deutschland,Munich,NL,15.22,99x59x45,3892.99,14.85,16.73,2025-12-18,2025-05-25,13-09-2023,WH-FRA,DRV-3229,897,5,False,2.0,,True,True,0.0,48.69,False,2023-01-25 08:07:00
SHP-202300026,TRK829131565723,ORD-6278484,CUST-531230,Christina Becker,Express,DHL,Out for Delivery,Berlin,GERMANY,Paris,Netherlands,13.63,93x88x66,2526.23,37.12,2.22,2024-01-19,2023-12-06,10-04-2024,WH-BER,DRV-2530,596,5,True,4.0,Weather,False,False,0.0,29.39,True,2023-08-01 11:14:00
SHP-202300027,TRK146248757491,ORD-8232866,CUST-446072,Lukas Muller,Economy,FedEx,Failed,Frankfurt,Deutschland,Duisburg,AT,9.59,28x76x54,2483.54,71.39,0.0,2024-07-12,2022-09-28,23-05-2025,WH-DRS,DRV-5943,1133,3,True,,Vehicle Breakdown,False,False,0.0,97.72,True,2023-09-17 15:54:00
SHP-202300028,TRK787081794474,ORD-9181392,CUST-223223,Sabine Muller,International,Amazon Logistics,delivered,Bremen,Germany,Prague,Czech Republic,47.35,45x84x71,4452.74,30.73,23.28,01/19/2023,2024-10-26,2025-04-28,WH-BER,DRV-9906,297,4,False,3.0,Incorrect Address,True,False,0.0,22.03,False,2023-06-26 10:02:00
SHP-202300029,TRK719837002713,ORD-8127240,CUST-275951,Max Schulz,Next Day,Hermes,Failed,Duisburg,GERMANY,Cologne,FR,47.93,28x80x74,2316.28,37.0,12.51,2022-01-19,2025-05-24,2024-07-26,WH-FRA,DRV-7876,928,4,False,1.0,Incorrect Address,True,True,0.0,24.67,True,2023-01-04 13:47:00
SHP-202300030,TRK979004966501,ORD-6840868,CUST-470576,Christina Agyeman,Next Day,UPS,Returned,Dresden,Deutschland,Dortmund,NL,36.15,91x94x65,561.0,79.9,0.0,2024-11-15,05/07/2022,2023-10-11,WH-MUC,DRV-8793,114,1,True,,,True,False,0.0,83.67,False,2023-02-06 10:37:00
SHP-202300031,TRK685365157494,ORD-3942947,CUST-267701,Anna Boateng,Standard,Amazon Logistics,Lost,Dortmund,Germany,Vienna,Germany,13.39,126x59x26,286.38,74.29,0.0,2022-08-16,2022-04-03,2022-11-15,WH-HAM,DRV-6107,619,2,False,,,False,True,0.0,51.09,False,2023-03-13 08:50:00
SHP-202300032,TRK494420977313,ORD-4332179,CUST-545201,Andreas Mensah,International,UPS,DELIVERED,Dortmund,GERMANY,Paris,NL,10.4,23x34x5,4889.2,23.52,0.0,09/25/2025,2024-10-07,2022-10-04,WH-FRA,DRV-9507,224,3,True,,Incorrect Address,False,False,0.0,3.54,False,2023-11-03 21:07:00
SHP-202300033,TRK539419328022,ORD-8341584,CUST-501890,Sarah Hoffmann,Standard,FedEx,Returned,Duisburg,GERMANY,Munich,CZ,0.11,126x11x53,4276.98,18.69,19.44,2024-04-23,10/25/2022,01-07-2023,WH-MUC,DRV-6360,1294,4,False,,,False,True,0.0,74.66,True,2023-06-12 07:17:00
SHP-202300034,TRK363252668141,ORD-7697423,CUST-469769,Sophie Sowah,Express,DPD,DELIVERED,Dresden,GERMANY,Frankfurt,AT,36.54,141x22x24,2890.4,19.81,0.0,11 Aug 2022,2025-11-19,2023-09-23,WH-MUC,DRV-7170,492,1,False,,Weather,True,False,4634.98,28.58,False,2023-09-14 08:07:00
SHP-202300035,TRK396749346769,ORD-1047597,CUST-674769,Lukas Wagner,Economy,Deutsche Post,In Transit,Nuremberg,Deutschland,Prague,Czech Republic,42.17,115x92x20,3467.48,35.18,13.55,2023-11-23,2022-06-23,2023-03-27,WH-HAM,DRV-5545,1499,2,False,,Strike,False,True,4523.84,83.83,False,2023-10-26 08:41:00
SHP-202300036,TRK624776773248,ORD-4804421,CUST-151511,Mia Mensah,Same Day,UPS,Pending,Bremen,GERMANY,Berlin,NL,1.7,109x69x63,2093.0,89.27,0.0,2023-09-08,29 Jun 2022,18/12/2025,WH-BER,DRV-1232,328,3,False,,,True,True,0.0,72.36,True,2023-10-24 14:41:00
SHP-202300037,TRK242574414015,ORD-5430852,CUST-498208,Andreas Wolf,Same Day,DPD,Returned,Hamburg,DE,Leipzig,AT,12.05,138x93x77,4020.96,19.61,0.0,20 Jul 2024,2022-10-28,2022-01-08,WH-CGN,DRV-6531,208,3,False,2.0,Traffic,True,True,0.0,49.98,False,2023-02-28 16:39:00
SHP-202300038,TRK149198740365,ORD-5948735,CUST-317089,Andreas Mensah,Standard,Deutsche Post,Attempted,Hamburg,Germany,Prague,France,33.45,48x84x64,1536.69,27.78,0.0,19/03/2024,2022-05-17,2025-12-18,WH-HAM,DRV-4149,560,2,False,,,False,False,0.0,0.98,False,2023-05-13 20:07:00
SHP-202300039,TRK180705557575,ORD-5384842,CUST-888616,Andreas Sowah,Express,DB Schenker,Delivered,Nuremberg,GERMANY,Dresden,CZ,21.72,144x42x37,4945.74,46.43,0.0,2025-12-05,2022-02-25,2023-05-15,WH-DRS,DRV-5062,615,1,True,2.0,,False,True,813.92,60.62,False,2023-02-08 06:53:00
SHP-202300040,TRK806883589818,ORD-2144905,CUST-332249,Andreas Muller,Economy,DHL,DELIVERED,Dresden,GERMANY,Frankfurt,Austria,43.47,74x11x39,4215.09,66.7,7.85,2022-08-18,06-06-2025,2024-01-21,WH-MUC,DRV-8755,1108,3,True,,Strike,False,False,0.0,55.31,False,2023-08-08 23:46:00
SHP-202300041,TRK803508550974,ORD-9108747,CUST-669035,David Weber,Same Day,FedEx,delivered,Dresden,Germany,Zurich,Germany,38.23,38x63x25,4115.42,30.31,0.0,2024-01-31,2025-01-14,06/24/2025,WH-FRA,DRV-4782,1356,5,True,3.0,Traffic,False,False,0.0,78.08,False,2023-09-24 21:24:00
SHP-202300042,TRK570486952779,ORD-3098587,CUST-749404,Lukas Hoffmann,Freight,DPD,Lost,Cologne,Deutschland,Cologne,PL,48.49,103x11x52,2246.85,83.44,24.99,09/16/2024,2025-06-17,2025-10-29,WH-DRS,DRV-9250,624,5,True,,Traffic,True,False,0.0,33.61,True,2023-04-17 21:47:00
SHP-202300043,TRK303904108520,ORD-3051652,CUST-500528,Sabine Boateng,Freight,DHL,Returned,Dusseldorf,Germany,Hamburg,AT,35.07,14x27x35,4629.03,67.67,0.0,02/20/2025,2023-05-30,03/10/2022,WH-BER,DRV-5196,452,5,False,,,True,True,0.0,72.79,True,2023-12-15 13:00:00
SHP-202300044,TRK140975886591,ORD-6945751,CUST-824625,Felix Schneider,Next Day,GLS,Lost,Bremen,Deutschland,Stuttgart,CZ,20.56,147x25x64,374.05,76.78,10.26,2025-10-17,2022-02-05,2023-08-02,WH-FRA,DRV-7669,1175,3,False,,Strike,True,False,0.0,87.0,False,2023-02-22 11:14:00
SHP-202300045,TRK177141032162,ORD-6887205,CUST-403521,Michael Mensah,Economy,Hermes,delivered,Essen,Deutschland,Vienna,AT,39.57,111x52x37,4776.03,53.23,3.93,02/04/2025,2024-03-25,2025-08-05,WH-FRA,DRV-5284,1449,1,True,,Recipient Not Available,True,False,0.0,11.5,True,2023-03-25 11:50:00
SHP-202300046,TRK542002017767,ORD-8975546,CUST-109989,Hanna Becker,Standard,GLS,Lost,Dresden,DE,Warsaw,Germany,15.66,76x95x59,3481.33,36.39,0.0,2024-07-09,2025-01-27,2024-10-06,WH-MUC,DRV-1030,1302,4,False,,Weather,True,False,3322.46,6.44,True,2023-12-22 16:22:00
SHP-202300047,TRK183938691701,ORD-8955772,CUST-335101,Andreas Agyeman,International,DHL,Out for Delivery,Dusseldorf,GERMANY,Leipzig,DE,40.81,118x43x36,3850.65,8.22,1.05,2023-11-23,01/18/2024,2023-04-08,WH-FRA,DRV-6170,651,4,False,,Weather,True,True,0.0,85.88,False,2023-05-19 16:18:00
SHP-202300048,TRK918934885867,ORD-5531544,CUST-883664,Sabine Fischer,Freight,UPS,In Transit,Stuttgart,Deutschland,Cologne,Czech Republic,34.38,26x93x13,4094.38,4.5,0.0,2025-07-21,2025-02-11,04/09/2025,WH-MUC,DRV-1005,166,2,True,4.0,Customs Delay,False,True,0.0,20.7,True,2023-06-25 18:17:00
SHP-202300049,TRK670228940868,ORD-9537919,CUST-470453,Sabine Boateng,Freight,DPD,Lost,Essen,Deutschland,Frankfurt,France,35.96,64x57x16,3279.0,18.48,0.0,2024-02-19,2025-08-29,04/23/2024,WH-BER,DRV-3278,71,3,False,,Customs Delay,True,False,0.0,15.52,True,2023-08-06 17:50:00
SHP-202300050,TRK203643880196,ORD-4588408,CUST-344339,David Boateng,Next Day,DPD,Lost,Essen,Deutschland,Cologne,AT,38.5,102x28x35,2743.58,48.32,0.0,2024-06-01,2022-10-31,2024-06-24,WH-MUC,DRV-8945,1010,4,False,,Recipient Not Available,True,False,753.3,83.06,False,2023-03-24 10:32:00
SHP-202300051,TRK890272518070,ORD-4680911,CUST-707041,Lukas Meyer,Next Day,Hermes,Delivered,Hamburg,GERMANY,Zurich,PL,46.06,27x66x22,3600.52,41.99,0.0,2025-06-03,2025-11-23,2022-07-15,WH-DRS,DRV-2159,113,5,False,5.0,Strike,True,True,0.0,71.84,False,2023-07-23 16:22:00
SHP-202300052,TRK600951168725,ORD-4896036,CUST-774213,Felix Bauer,Freight,UPS,Out for Delivery,Cologne,GERMANY,Paris,CZ,26.81,79x40x54,253.7,61.88,22.35,2023-07-17,2022-09-21,2022-03-26,WH-HAM,DRV-9676,577,4,True,,Traffic,True,False,0.0,70.88,False,2023-10-21 18:02:00
SHP-202300053,TRK118511070815,ORD-7893201,CUST-241750,Mia Muller,Economy,DHL,Attempted,Frankfurt,GERMANY,Hamburg,PL,1.21,112x42x51,701.77,5.63,24.64,2024-05-28,2022-12-15,18 Apr 2024,WH-CGN,DRV-6424,1379,3,True,3.0,Traffic,False,False,0.0,50.24,False,2023-11-21 02:21:00
SHP-202300054,TRK104918530284,ORD-8827037,CUST-540013,Emma Wolf,Next Day,DB Schenker,In Transit,Duisburg,DE,Duisburg,DE,21.12,41x50x52,55.32,34.51,0.0,2024-06-28,2024-12-27,2024-06-29,WH-HAM,DRV-7806,174,2,False,3.0,,False,False,0.0,23.42,False,2023-04-05 09:30:00
SHP-202300055,TRK806764979726,ORD-2227341,CUST-312343,Leon Boateng,Freight,DB Schenker,In Transit,Hamburg,Germany,Berlin,FR,36.2,99x41x65,3595.52,66.75,19.86,23 Feb 2022,2022-03-07,2023-09-24,WH-MUC,DRV-7783,761,5,False,4.0,Customs Delay,True,True,0.0,34.5,False,2023-04-01 10:52:00
SHP-202300056,TRK835941042408,ORD-2834250,CUST-578484,Leon Agyeman,International,Deutsche Post,In Transit,Hamburg,GERMANY,Stuttgart,France,23.59,126x48x51,568.72,56.22,11.67,2023-07-09,2023-06-25,2025-01-31,WH-CGN,DRV-3861,693,2,True,2.0,Incorrect Address,True,True,0.0,85.38,True,2023-04-13 19:38:00
SHP-202300057,TRK650529283462,ORD-3417109,CUST-847960,Petra Wagner,Next Day,Deutsche Post,Returned,Dortmund,GERMANY,Dresden,Austria,10.05,118x87x37,1764.62,59.26,16.97,2024-01-02,2022-08-28,2023-06-01,WH-MUC,DRV-9561,716,5,False,,Strike,True,True,0.0,22.11,True,2023-08-11 00:32:00
SHP-202300058,TRK482561293916,ORD-5500874,CUST-872001,David Muller,Next Day,Hermes,DELIVERED,Munich,Deutschland,Nuremberg,Czech Republic,30.63,83x89x47,4011.29,33.27,11.91,2025-04-12,2022-02-02,2023-08-08,WH-MUC,DRV-7336,1304,5,True,4.0,Weather,True,True,0.0,24.73,True,2023-01-27 08:29:00
SHP-202300059,TRK260018249983,ORD-2676036,CUST-216118,Christina Klein,Next Day,DPD,Returned,Bremen,DE,Leipzig,GERMANY,34.55,62x100x58,2095.84,20.2,0.0,2022-01-07,2023-08-10,2025-07-14,WH-CGN,DRV-2021,1493,3,False,,Traffic,False,True,0.0,12.05,True,2023-05-18 13:35:00
SHP-202300060,TRK128679816504,ORD-6213159,CUST-533169,Hanna Klein,Express,FedEx,Pending,Dortmund,Germany,Dresden,CH,19.19,104x15x22,3308.38,69.76,2.93,10/01/2022,09/21/2023,2022-09-19,WH-DRS,DRV-3367,1276,1,True,2.0,Strike,False,False,0.0,1.85,True,2023-04-28 11:46:00
SHP-202300061,TRK497672110464,ORD-5469811,CUST-377777,Sophie Schmidt,Same Day,Amazon Logistics,DELIVERED,Duisburg,DE,Dortmund,AT,15.99,26x71x27,522.78,26.13,21.44,2022-03-25,2025-09-18,2023-08-19,WH-MUC,DRV-8764,392,2,True,1.0,Strike,False,True,4487.53,1.02,True,2023-11-08 10:15:00
SHP-202300062,TRK220953010081,ORD-9338642,CUST-614271,Mia Mensah,Economy,Hermes,In Transit,Hamburg,GERMANY,Bremen,Netherlands,10.46,80x50x42,3089.56,64.15,21.23,2023-10-11,2025-02-17,2023-12-10,WH-FRA,DRV-1104,1103,4,True,,Customs Delay,False,False,0.0,65.64,True,2023-09-27 16:12:00
SHP-202300063,TRK401417673370,ORD-9968527,CUST-553292,Hanna Sowah,Freight,DB Schenker,Delivered,Cologne,Deutschland,Essen,Germany,29.17,130x41x15,1781.42,42.94,9.18,31-12-2024,23/08/2024,06-04-2023,WH-HAM,DRV-6401,938,5,True,4.0,Strike,True,False,0.0,55.42,False,2023-12-10 06:56:00
SHP-202300064,TRK119356614950,ORD-3554186,CUST-707067,Anna Sowah,Express,DB Schenker,Returned,Dusseldorf,Deutschland,Dresden,NL,27.53,59x16x25,4513.77,69.79,16.46,2023-03-12,2025-07-09,2025-05-15,WH-FRA,DRV-8522,641,3,False,1.0,Recipient Not Available,True,True,0.0,44.36,False,2023-06-04 16:17:00
SHP-202300065,TRK966712686808,ORD-4383333,CUST-838936,Daniel Agyeman,International,FedEx,Returned,Frankfurt,DE,Frankfurt,DE,22.63,45x73x25,1597.95,11.36,0.0,2022-10-09,26/11/2025,2024-05-21,WH-HAM,DRV-2253,1214,2,True,2.0,Incorrect Address,True,False,0.0,11.36,False,2023-11-07 23:24:00
SHP-202300066,TRK225136101385,ORD-5898161,CUST-158983,Anna Schmidt,Express,DHL,Pending,Munich,Deutschland,Prague,NL,18.47,37x63x50,2035.93,83.29,0.0,2025-10-24,10/07/2024,19/06/2024,WH-MUC,DRV-2409,507,1,True,3.0,Weather,False,False,1694.43,51.06,True,2023-07-17 09:18:00
SHP-202300067,TRK130656721611,ORD-1262610,CUST-337616,Hanna Fischer,Same Day,DB Schenker,delivered,Leipzig,Deutschland,Dusseldorf,CZ,33.39,117x96x10,1996.15,84.22,0.0,2024-08-02,2022-03-21,2022-12-22,WH-HAM,DRV-4016,1215,4,False,5.0,Vehicle Breakdown,False,False,0.0,32.58,False,2023-01-28 21:08:00
SHP-202300068,TRK835876796686,ORD-8876850,CUST-141968,Thomas Richter,Next Day,FedEx,delivered,Hanover,GERMANY,Dusseldorf,CZ,7.18,66x31x74,310.91,8.29,13.52,2023-05-17,2023-04-30,2022-10-05,WH-MUC,DRV-5304,1484,5,False,4.0,Recipient Not Available,False,True,290.94,62.83,False,2023-08-09 07:10:00
SHP-202300069,TRK213907369603,ORD-4498267,CUST-252007,Thomas Weber,Standard,DHL,delivered,Essen,DE,Dortmund,NL,36.1,78x77x47,2754.79,24.16,0.0,2024-03-06,2024-03-12,2025-05-09,WH-DRS,DRV-7451,654,5,True,2.0,Vehicle Breakdown,True,False,0.0,25.14,False,2023-05-26 21:59:00
SHP-202300070,TRK506494398286,ORD-3146039,CUST-432646,Leon Meyer,International,Deutsche Post,Failed,Leipzig,GERMANY,Stuttgart,Netherlands,41.03,51x90x12,4461.75,70.9,0.0,2025-03-29,2024-05-14,09/04/2025,WH-BER,DRV-8279,446,1,False,,Recipient Not Available,False,False,278.49,68.89,True,2023-10-21 03:25:00
SHP-202300071,TRK858557935345,ORD-7528460,CUST-255044,Petra Becker,International,DPD,Delivered,Berlin,Germany,Nuremberg,Germany,32.52,40x10x38,405.18,23.25,0.0,2025-03-06,2025-10-28,12/16/2023,WH-MUC,DRV-5525,1497,1,True,2.0,Incorrect Address,False,True,0.0,31.23,False,2023-12-26 21:46:00
SHP-202300072,TRK970600140351,ORD-2836288,CUST-890009,Hanna Weber,International,Deutsche Post,DELIVERED,Berlin,Germany,Leipzig,CZ,40.79,15x16x78,3137.33,20.03,0.0,2025-06-17,2023-04-18,2024-12-07,WH-DRS,DRV-3094,553,3,True,4.0,Recipient Not Available,False,True,736.05,56.67,True,2023-03-14 07:21:00
SHP-202300073,TRK924230701212,ORD-3649466,CUST-898672,Michael Weber,Freight,GLS,Lost,Duisburg,Deutschland,Hamburg,AT,21.73,141x51x64,4519.01,32.1,7.59,2024-07-13,2022-08-02,08-06-2022,WH-FRA,DRV-6182,656,4,False,2.0,Vehicle Breakdown,True,False,0.0,29.79,True,2023-11-14 09:24:00
SHP-202300074,TRK449747550900,ORD-1003963,CUST-871538,David Osei,Freight,FedEx,DELIVERED,Duisburg,DE,Amsterdam,GERMANY,30.7,102x25x14,1151.25,27.04,0.0,2023-06-02,2022-09-25,2024-02-15,WH-MUC,DRV-1274,1289,4,True,4.0,Traffic,True,True,0.0,76.55,True,2023-04-12 14:36:00
SHP-202300075,TRK126119644881,ORD-5179857,CUST-628857,Lukas Becker,Freight,DHL,Failed,Dresden,Germany,Nuremberg,PL,36.53,113x39x36,4638.29,75.85,0.0,2025-04-19,2024-05-10,27 Apr 2022,WH-HAM,DRV-4612,439,1,True,5.0,Strike,True,True,0.0,28.88,True,2023-04-12 05:09:00
SHP-202300076,TRK462529105630,ORD-6842663,CUST-215110,Max Becker,Standard,Deutsche Post,DELIVERED,Leipzig,DE,Hanover,Poland,41.2,114x96x66,373.53,55.16,0.0,04-07-2024,2022-09-17,2025-01-31,WH-BER,DRV-4220,1163,4,True,2.0,Vehicle Breakdown,True,True,0.0,77.64,True,2023-05-18 02:21:00
SHP-202300077,TRK939076219763,ORD-1260989,CUST-255949,Mia Wolf,Standard,UPS,Lost,Bremen,Germany,Hamburg,FR,2.3,128x47x69,1152.2,49.69,0.0,05/22/2024,09/16/2023,2024-10-31,WH-HAM,DRV-6087,1466,5,False,,,True,True,0.0,29.21,False,2023-04-10 15:42:00
