event_id,ticket_id,order_id,customer_id,customer_name,customer_email,sport,event_type,event_name,venue_name,venue_city,event_date,event_time,section,row,seat_number,ticket_type,face_value_eur,service_fee_eur,total_price_eur,discount_applied_eur,final_price_eur,payment_method,payment_status,purchase_date,ticket_scanned,attendance_status,merchandise_amount_eur,food_beverage_amount_eur,total_spend_eur,customer_satisfaction_score,nps_score,complaint_filed,notes,created_at,updated_at
EVT-202300011,TKT-895285932,ORD-51511784,CUST-578729,Lukas Becker,fan48430@outlook.com,Handball,League Game,RB Leipzig 2024,Allianz Arena,Dortmund,2023-12-28,16:15:00,Gegengerade,C16,2,group,122.23,5.85,128.08,92.57,35.51,Invoice,cancelled,2025-01-27,True,early_departure,238.68,27.48,301.67,,34.0,False,Group booking,2023-08-08 06:43:39,2025-01-03 07:07:59
EVT-202300012,TKT-685582861,ORD-68115874,CUST-719418,Michael Mensah,fan10546@gmx.de,Skiing,Playoff,Theater 2024,Olympiastadion Berlin,Berlin,2025-08-03,17:15:00,Ost,E34,31,Season Ticket,95.55,38.65,134.2,0.0,134.2,Credit Card,Refunded,2024-03-08,False,Unknown,268.67,84.58,487.45,2.0,,False,,2023-05-04 13:53:01,2025-08-14 15:43:31
EVT-202300013,TKT-193349856,ORD-57175405,CUST-452372,Lukas Hoffmann,fan40520@gmx.de,Football,League Game,Music Festival 2024,Lanxess Arena,Munich,2022-12-05,15:45:00,Nord,M8,7,box,480.57,45.51,526.08,0.0,526.08,Cash,refunded,2025-01-01,,Early Departure,40.37,86.5,652.95,5.0,-99.0,False,First time,2023-01-15 10:55:38,2025-09-06 12:04:10
EVT-202300014,TKT-734036506,ORD-23163805,CUST-524022,Petra Schulz,fan79731@gmx.de,Skiing,Final,Concert Tour 2024,Veltins-Arena,Cologne,10/03/2025,11:00:00,Balcony,T3,37,premium,185.43,6.79,192.22,87.47,104.75,credit_card,failed,2022/11/01,,,131.58,26.9,263.23,3.0,,True,Family,2023-10-22 02:49:01,2025-10-02 19:48:51
EVT-202300015,TKT-553035110,ORD-30672246,CUST-620446,Andreas Becker,fan83865@example.com,Handball,Concert,Concert Tour 2024,Mercedes-Benz Arena Stuttgart,Leipzig,22/03/2025,11:45:00,Circle,Z7,33,Senior,434.77,14.66,449.43,0.0,449.43,Cash,paid,2023-04-04,False,,137.25,86.04,672.72,,,False,Group booking,2023-07-27 20:57:57,2025-04-24 08:16:19
EVT-202300016,TKT-134126396,ORD-45082941,CUST-643950,Leon Sowah,fan52151@gmail.com,Cycling,Concert,Theater 2024,Lanxess Arena,Dortmund,2024-02-04,13:00:00,Sud,W11,7,vip,415.63,48.67,464.3,0.0,464.3,Credit Card,Cancelled,2022-12-04,True,,274.61,79.96,818.87,2.0,-11.0,True,Family,2023-12-08 20:45:53,2025-07-15 19:45:39
EVT-202300017,TKT-131994523,ORD-34335767,CUST-445535,Felix Becker,fan51812@yahoo.com,Volleyball,League Game,DFB Pokal 2024,Red Bull Arena,Munich,2022-09-17,10:30:00,Block A,A31,25,premium,401.23,13.98,415.21,0.0,415.21,invoice,Refunded,2022-03-25,,,177.5,4.46,597.17,5.0,-18.0,True,Family,2023-02-13 13:57:58,2025-03-17 15:51:51
EVT-202300018,TKT-200604502,ORD-25884898,CUST-764414,Paul Schmidt,fan60019@web.de,Handball,Playoff,Champions League 2024,Volksparkstadion,Hamburg,2024-08-20,14:15:00,Gegengerade,K47,2,standard,416.37,31.41,447.78,64.99,382.79,invoice,Cancelled,2025-10-03,False,early_departure,215.52,37.02,635.33,1.0,,False,Season ticket holder,2023-07-09 04:49:10,2025-02-24 19:04:08
EVT-202300019,TKT-334760738,ORD-13904296,CUST-688236,Sophie Schmidt,fan12305@web.de,Skiing,League Game,FC Bayern 2024,Signal Iduna Park,Dusseldorf,2024-02-08,21:15:00,Ost,N38,27,Standard,347.71,15.0,362.71,0.0,362.71,Cash,refunded,2022-06-22,,no_show,187.24,94.83,644.78,,27.0,True,-,2023-08-19 08:34:04,2025-02-23 20:07:53
EVT-202300020,TKT-349817734,ORD-62183668,CUST-558882,Emma Schmidt,fan43008@gmx.de,Handball,Match,Champions League 2024,Signal Iduna Park,Frankfurt,2024-09-21,15:15:00,Sud,J9,1,vip,137.95,8.77,146.72,62.16,84.56,Invoice,PAID,2023-12-10,,late_arrival,128.15,7.66,220.37,4.0,,True,Family,2023-04-18 09:17:11,2025-02-05 07:26:27
EVT-202300021,TKT-642621108,ORD-41546395,CUST-956389,Petra Schmidt,fan43172@example.com,Tennis,Match,Comedy Show 2024,Veltins-Arena,Hamburg,03/02/2025,22:45:00,Gegengerade,B27,8,standard,398.27,31.27,429.54,0.0,429.54,Debit Card,pending,2024-09-08,False,early_departure,162.08,40.9,632.52,2.0,,False,Family,2023-03-07 07:10:25,2025-02-08 04:50:36
EVT-202300022,TKT-746412689,ORD-72771288,CUST-516022,Lukas Muller,fan46214@example.com,Cycling,Friendly,BVB 2024,Red Bull Arena,Cologne,2024-01-28,20:00:00,Block D,L47,31,Student,307.84,27.67,335.51,27.94,307.57,debit_card,pending,2022-07-05,False,attended,234.72,34.33,576.62,4.0,91.0,False,Family,2023-11-22 23:36:25,2025-02-20 22:11:42
EVT-202300023,TKT-128492780,ORD-84803602,CUST-558070,Andreas Fischer,fan81231@example.com,Volleyball,Concert,Bundesliga 2024,SAP Arena,Stuttgart,2023-07-09,19:00:00,Block D,W5,34,family,224.0,19.32,243.32,0.0,243.32,Bank Transfer,cancelled,05 Apr 2022,False,early_departure,106.45,13.54,363.31,,-87.0,True,First time,2023-01-16 15:42:56,2025-10-16 22:45:44
EVT-202300024,TKT-702632297,ORD-21857900,CUST-228852,Thomas Mensah,fan95887@outlook.com,Basketball,Tournament,DFB Pokal 2024,Mercedes-Benz Arena,Dusseldorf,2025-10-13,13:15:00,Sud,G24,10,box,426.88,2.27,429.15,88.52,340.63,invoice,Cancelled,2022-02-26,,Late Arrival,152.44,1.65,494.72,,-97.0,False,First time,2023-04-17 17:07:20,2025-10-28 00:40:40
EVT-202300025,TKT-313500298,ORD-73597689,CUST-262088,Anna Sowah,fan69818@yahoo.com,Cycling,Friendly,National Team 2024,Veltins-Arena,Berlin,11/06/2024,11:45:00,Haupttribune,G22,40,Group,434.67,37.0,471.67,0.0,471.67,PayPal,refunded,2024-01-24,True,Early Departure,157.11,17.3,646.08,5.0,,False,,2023-02-12 23:07:03,2025-01-01 12:52:45
EVT-202300026,TKT-868820204,ORD-12547060,CUST-184096,Christina Schulz,fan81931@outlook.com,Cycling,Final,Comedy Show 2024,Signal Iduna Park,Dortmund,2023-09-25,11:15:00,Block B,F27,12,Box,110.88,28.86,139.74,34.74,105.0,Credit Card,cancelled,2024-04-10,True,late_arrival,70.72,94.35,270.07,,,False,VIP experience,2023-09-14 03:37:14,2025-02-19 20:34:17
EVT-202300027,TKT-797808098,ORD-51195409,CUST-845789,Sabine Osei,fan82391@example.com,Volleyball,Show,Bundesliga 2024,Volksparkstadion,Munich,2024-01-13,20:45:00,Ost,B26,4,Premium,406.85,5.38,412.23,0.0,412.23,Cash,Paid,30 Apr 2024,True,no_show,71.0,25.69,508.92,4.0,84.0,True,Corporate,2023-05-09 15:01:38,2025-12-15 10:11:57
EVT-202300028,TKT-853041955,ORD-85042631,CUST-572363,Michael Schulz,fan19849@outlook.com,Skiing,Concert,BVB 2024,Allianz Arena,Dusseldorf,2024-11-09,17:30:00,Sud,F36,47,vip,445.23,2.64,447.87,0.0,447.87,paypal,paid,2023-03-17,False,Unknown,6.89,44.02,498.78,3.0,15.0,True,Corporate,2023-05-11 04:31:51,2025-11-18 16:52:10
EVT-202300029,TKT-685126461,ORD-40269419,CUST-613028,Sabine Schulz,fan87700@gmail.com,Swimming,Playoff,DFB Pokal 2024,Mercedes-Benz Arena,Dortmund,2024-07-06,12:45:00,Circle,Z48,35,group,97.71,42.52,140.23,0.0,140.23,Debit Card,Cancelled,2022-08-24,,unknown,30.07,4.57,174.87,3.0,-70.0,False,Family,2023-01-01 07:20:37,2025-12-25 08:24:05
EVT-202300030,TKT-550455977,ORD-60501401,CUST-849124,Petra Fischer,fan77651@web.de,Cycling,Friendly,DFB Pokal 2024,SAP Arena,Dortmund,2023-09-21,10:30:00,Block A,G12,18,group,350.39,20.97,371.36,0.0,371.36,invoice,Pending,06/02/2023,False,Unknown,42.85,16.34,430.55,,,True,Corporate,2023-11-06 07:05:12,2025-09-02 21:40:11
EVT-202300031,TKT-336696312,ORD-43879275,CUST-871949,Petra Meyer,fan55864@web.de,Skiing,League Game,National Team 2024,Veltins-Arena,Hamburg,2022-09-11,14:45:00,Block C,B17,34,season_ticket,265.79,6.79,272.58,0.0,272.58,paypal,pending,2024-02-16,False,early_departure,70.29,3.53,346.4,3.0,,False,Family,2023-07-19 15:38:23,2025-06-05 17:26:59
EVT-202300032,TKT-582334538,ORD-94009435,CUST-877327,Thomas Becker,fan62553@gmx.de,Skiing,Festival,RB Leipzig 2024,O2 World Hamburg,Cologne,2025-08-26,19:30:00,Orchestra,B43,42,Student,329.09,41.72,370.81,0.0,370.81,bank_transfer,Pending,2022-10-08,False,attended,212.94,31.77,615.52,,,True,VIP experience,2023-06-17 15:42:20,2025-10-12 10:33:00
EVT-202300033,TKT-732719211,ORD-81004829,CUST-396603,Max Sowah,fan19713@outlook.com,Swimming,League Game,DFB Pokal 2024,SAP Arena,Leipzig,2025-09-22,16:30:00,West,C41,24,group,351.57,6.49,358.06,0.0,358.06,credit_card,refunded,2025-02-26,True,No-Show,83.29,75.92,517.27,,,False,VIP experience,2023-04-17 04:30:47,2025-10-17 01:20:01
EVT-202300034,TKT-398704996,ORD-22730212,CUST-862653,Thomas Hoffmann,fan39175@gmx.de,Cycling,Playoff,Music Festival 2024,Allianz Arena,Stuttgart,2023-02-04,22:00:00,Block D,Z45,43,vip,269.63,13.7,283.33,0.0,283.33,PayPal,PAID,2024-10-20,True,Early Departure,287.95,20.38,591.66,,,True,First time,2023-10-17 18:34:36,2025-07-20 17:10:51
EVT-202300035,TKT-969119330,ORD-21162009,CUST-370756,Hanna Fischer,fan80880@outlook.com,Handball,Playoff,Music Festival 2024,Red Bull Arena,Leipzig,2024-03-01,11:30:00,Floor,K1,49,student,55.65,35.04,90.69,10.08,80.61,cash,Failed,2024-10-17,False,no_show,61.71,86.48,228.8,,,True,,2023-05-13 06:22:59,2025-12-01 12:58:26
EVT-202300036,TKT-106977991,ORD-65132577,CUST-425684,Felix Muller,fan91405@example.com,Ice Hockey,Festival,RB Leipzig 2024,Mercedes-Benz Arena Stuttgart,Dresden,2025-07-20,20:15:00,Circle,C18,38,Standard,497.49,30.77,528.26,94.32,433.94,paypal,Cancelled,2022-09-24,,late_arrival,148.95,70.45,653.34,3.0,,True,Season ticket holder,2023-11-28 21:18:53,2025-05-25 04:07:49
EVT-202300037,TKT-914763202,ORD-55372379,CUST-213625,Felix Wagner,fan68186@example.com,Volleyball,Concert,Comedy Show 2024,Veltins-Arena,Munich,2024-09-28,11:45:00,Block A,G19,40,senior,310.07,16.8,326.87,-,326.87,Bank Transfer,pending,2022-12-30,False,late_arrival,203.1,16.96,546.93,2.0,-18.0,False,Family,2023-11-20 01:58:54,2025-11-06 12:27:22
EVT-202300038,TKT-965241839,ORD-87763631,CUST-462322,Michael Wagner,fan86228@yahoo.com,Ice Hockey,Friendly,BVB 2024,Lanxess Arena,Cologne,2024-08-07,18:00:00,West,F45,7,student,89.18,12.37,101.55,0.0,101.55,invoice,Failed,2024-12-08,True,No-Show,250.71,84.0,436.26,1.0,-98.0,False,First time,2023-10-19 15:54:49,2025-03-14 23:37:52
EVT-202300039,TKT-271432881,ORD-56924234,CUST-978865,Max Becker,fan31242@gmail.com,Ice Hockey,Friendly,Comedy Show 2024,Red Bull Arena,Leipzig,2024-10-18,20:45:00,Ost,X8,22,Student,102.2,5.26,107.46,0.0,107.46,debit_card,PAID,2025-10-07,False,Late Arrival,271.22,85.77,464.45,,14.0,False,First time,2023-02-22 03:22:43,2025-02-16 13:17:35
EVT-202300040,TKT-849621470,ORD-58510264,CUST-495938,Hanna Wagner,fan25929@gmail.com,Swimming,Playoff,RB Leipzig 2024,Commerzbank-Arena,Frankfurt,04/25/2022,22:15:00,Block A,W37,23,Group,271.51,8.3,279.81,0.0,279.81,Cash,pending,2022-04-22,True,Unknown,197.31,55.66,532.78,3.0,9.0,True,Regular attendee,2023-04-13 00:11:42,2025-12-12 23:16:14
EVT-202300041,TKT-553778756,ORD-84153263,CUST-477440,Mia Hoffmann,fan66125@example.com,Tennis,Playoff,BVB 2024,Commerzbank-Arena,Dusseldorf,2024-02-24,11:45:00,Gegengerade,J19,38,Standard,255.61,23.87,279.48,0.0,279.48,Invoice,Cancelled,2022-08-18,,Early Departure,259.31,59.54,598.33,,,True,Regular attendee,2023-04-16 12:24:55,2025-02-17 11:22:46
EVT-202300042,TKT-465341213,ORD-93942961,CUST-571581,Sophie Muller,fan39321@gmx.de,Athletics,League Game,FC Bayern 2024,Veltins-Arena,Dusseldorf,2023-06-13,19:15:00,Floor,P1,40,premium,266.71,34.91,301.62,0.0,301.62,cash,refunded,2023-01-04,,early_departure,182.34,50.41,534.37,1.0,,False,Family,2023-07-27 23:49:56,2025-01-14 20:37:10
EVT-202300043,TKT-398362082,ORD-59965553,CUST-399857,Felix Wagner,fan38857@web.de,Tennis,Festival,Music Festival 2024,Commerzbank-Arena,Leipzig,2024-06-05,21:45:00,Block B,W33,19,Standard,447.45,45.72,493.17,0.0,493.17,invoice,Failed,2025-09-24,True,early_departure,295.16,49.07,837.4,,53.0,True,-,2023-12-08 20:02:26,2025-03-15 15:25:24
EVT-202300044,TKT-266944844,ORD-86868659,CUST-324748,Felix Weber,fan36817@yahoo.com,Tennis,Show,Theater 2024,Mercedes-Benz Arena Stuttgart,Berlin,2023-03-24,20:45:00,Block C,Y46,48,Family,470.68,2.18,472.86,-,472.86,Bank Transfer,pending,2024-11-21,False,Late Arrival,45.38,91.73,609.97,1.0,,True,First time,2023-11-22 15:36:05,2025-01-21 23:24:17
EVT-202300045,TKT-331191390,ORD-44629378,CUST-985337,Andreas Sowah,fan36003@gmx.de,Basketball,Playoff,Champions League 2024,SAP Arena,Berlin,2023-09-05,13:00:00,Block C,F7,11,premium,63.03,36.96,99.99,0.0,99.99,Invoice,Refunded,2024-10-23,True,Attended,24.38,47.29,171.66,2.0,-36.0,True,Corporate,2023-08-03 12:33:50,2025-07-23 19:44:33
EVT-202300046,TKT-919795579,ORD-32403611,CUST-935826,Emma Wagner,fan82686@example.com,Cycling,Tournament,Theater 2024,Olympiastadion Berlin,Dortmund,2023-06-27,21:15:00,Balcony,M33,36,Standard,118.22,3.41,121.63,0.0,121.63,credit_card,pending,2024-03-01,False,late_arrival,54.79,55.13,231.55,5.0,-5.0,True,VIP experience,2023-10-13 16:58:55,2025-05-10 08:49:08
EVT-202300047,TKT-461415646,ORD-19831649,CUST-604646,Leon Becker,fan27658@example.com,Volleyball,League Game,Bundesliga 2024,O2 World Hamburg,Hamburg,2024-05-28,13:00:00,Gegengerade,U23,47,box,307.95,13.94,321.89,0.0,0.0,PayPal,Paid,2022-01-11,False,no_show,201.74,41.05,564.68,1.0,-46.0,False,Family,2023-11-26 17:50:32,2025-08-08 04:29:36
EVT-202300048,TKT-209747451,ORD-93572661,CUST-452216,Hanna Sowah,fan25299@yahoo.com,Handball,Final,National Team 2024,O2 World Hamburg,Berlin,2023/06/08,11:15:00,Floor,Z50,8,Senior,223.62,25.16,248.78,91.14,157.64,Bank Transfer,refunded,2025-10-26,False,no_show,122.08,82.34,362.06,1.0,,True,,2023-02-25 14:00:03,2025-06-11 05:03:26
EVT-202300049,TKT-199585092,ORD-43117410,CUST-729155,Anna Schulz,fan20141@gmx.de,Ice Hockey,Festival,FC Bayern 2024,Allianz Arena,Stuttgart,2024-05-06,21:00:00,Orchestra,R43,16,Senior,316.28,19.48,335.76,36.47,299.29,bank_transfer,Pending,2023-01-27,False,No-Show,100.36,61.36,461.01,5.0,,False,Season ticket holder,2023-03-20 03:15:51,2025-07-11 07:12:01
EVT-202300050,TKT-507943839,ORD-77060632,CUST-653560,Felix Sowah,fan56031@web.de,Skiing,Concert,Champions League 2024,Signal Iduna Park,Hamburg,24 Feb 2024,13:00:00,Block A,K39,6,Standard,338.8,11.38,350.18,0.0,350.18,bank_transfer,refunded,2025-08-27,False,attended,273.9,85.21,709.29,2.0,,True,Season ticket holder,2023-07-13 00:04:53,2025-02-24 06:47:31
EVT-202300051,TKT-203848421,ORD-87015244,CUST-292617,Paul Schneider,fan38795@gmx.de,Cycling,Tournament,BVB 2024,Commerzbank-Arena,Dusseldorf,2024-03-07,17:45:00,Gegengerade,C19,6,Season Ticket,400.82,4.07,404.89,0.0,404.89,Invoice,cancelled,25/07/2022,False,Early Departure,167.4,8.11,580.4,5.0,56.0,False,First time,2023-09-26 22:25:50,2025-08-20 00:49:22
EVT-202300052,TKT-485451171,ORD-36485662,CUST-407226,Max Mensah,fan40193@example.com,Basketball,League Game,DFB Pokal 2024,Veltins-Arena,Cologne,02/12/2022,13:00:00,Floor,R30,7,Student,269.77,36.78,306.55,0.0,306.55,Bank Transfer,Refunded,2023-05-07,True,,287.41,63.89,657.85,,7.0,True,Corporate,2023-07-12 05:26:51,2025-12-05 18:00:57
EVT-202300053,TKT-469319644,ORD-24012503,CUST-658814,Andreas Becker,fan23635@gmail.com,Football,Festival,Music Festival 2024,Veltins-Arena,Frankfurt,2025-06-05,12:30:00,Haupttribune,L37,34,standard,476.59,40.39,516.98,0.0,516.98,credit_card,Cancelled,2025-11-28,True,unknown,210.54,44.26,771.78,3.0,,False,VIP experience,2023-07-01 19:25:53,2025-01-10 11:15:36
EVT-202300054,TKT-748245888,ORD-37994299,CUST-178304,Paul Weber,fan35336@web.de,Swimming,Friendly,Bundesliga 2024,Mercedes-Benz Arena Stuttgart,Munich,2025-07-24,12:30:00,Sud,Y32,4,vip,476.0,45.28,521.28,0.0,521.28,Debit Card,Refunded,06/29/2022,False,Unknown,248.56,66.11,835.95,,20.0,False,Regular attendee,2023-11-21 09:39:25,2025-01-04 05:07:27
EVT-202300055,TKT-384027113,ORD-65044458,CUST-326137,Petra Schneider,fan40410@gmail.com,Tennis,League Game,National Team 2024,O2 World Hamburg,Leipzig,2023-12-01,22:15:00,Floor,U24,20,premium,304.56,18.58,323.14,70.45,252.69,debit_card,Cancelled,2023-06-09,,no_show,284.38,64.51,601.58,1.0,,False,,2023-06-14 14:40:28,2025-05-01 05:55:04
EVT-202300056,TKT-966647391,ORD-35960560,CUST-252523,Michael Fischer,fan99048@yahoo.com,Cycling,Playoff,DFB Pokal 2024,O2 World Hamburg,Leipzig,2022-01-23,10:15:00,Nord,C35,28,Family,373.46,5.79,379.25,59.25,320.0,invoice,Pending,2022-02-08,True,Unknown,238.03,45.74,603.77,,,False,VIP experience,2023-04-13 11:04:13,2025-05-15 06:14:44
EVT-202300057,TKT-146654552,ORD-62865282,CUST-664862,Leon Sowah,fan43108@outlook.com,Skiing,Championship,FC Bayern 2024,Allianz Arena,Munich,14-09-2025,10:00:00,Nord,A50,40,Box,171.34,39.25,210.59,51.99,158.6,invoice,refunded,2022-04-29,,Unknown,179.11,26.84,364.55,2.0,,False,-,2023-09-14 17:51:11,2025-08-08 11:59:47
EVT-202300058,TKT-883543540,ORD-55158076,CUST-926733,Sabine Mensah,fan50932@gmx.de,Tennis,League Game,Comedy Show 2024,Mercedes-Benz Arena,Frankfurt,25/07/2023,17:45:00,Sud,J27,39,Standard,460.52,43.63,504.15,0.0,0.0,Cash,Refunded,2022-04-11,,Early Departure,279.39,6.41,789.95,1.0,,True,Family,2023-02-13 15:40:35,2025-08-26 04:44:58
EVT-202300059,TKT-593303705,ORD-87336330,CUST-222104,Emma Hoffmann,fan52051@gmail.com,Swimming,Final,Theater 2024,Signal Iduna Park,Berlin,2022-07-09,20:15:00,Floor,H22,17,Premium,312.29,33.81,346.1,-,320.73,PayPal,Paid,2022-11-22,False,,227.98,28.65,577.36,4.0,15.0,True,First time,2023-04-23 04:57:19,2025-06-04 03:56:59
EVT-202300060,TKT-675770529,ORD-76645106,CUST-630306,Lukas Schmidt,fan39393@yahoo.com,Cycling,League Game,Concert Tour 2024,Mercedes-Benz Arena Stuttgart,Stuttgart,2022-09-28,19:15:00,Nord,D42,19,premium,284.89,20.75,305.64,0.0,305.64,Invoice,failed,2025-01-12,True,attended,31.71,6.04,343.39,NULL,,True,Season ticket holder,2023-06-09 02:42:57,2025-02-10 09:45:30
EVT-202300061,TKT-234031070,ORD-33792252,CUST-114814,Paul Osei,fan77323@web.de,Basketball,Friendly,Concert Tour 2024,Red Bull Arena,Dusseldorf,2024-09-25,21:15:00,Orchestra,V36,28,Premium,466.37,36.57,502.94,0.0,502.94,Invoice,cancelled,2023-03-26,True,early_departure,112.13,40.63,655.7,2.0,Unknown,False,,2023-04-18 21:40:16,2025-01-01 03:07:27
EVT-202300062,TKT-506448196,ORD-75613832,CUST-921578,Leon Fischer,fan86573@example.com,Cycling,Championship,National Team 2024,Veltins-Arena,Cologne,2022-02-23,10:45:00,Balcony,X18,41,VIP,202.5,11.35,213.85,0.0,213.85,Cash,refunded,25-11-2023,True,Unknown,277.1,31.75,522.7,,,False,First time,2023-10-19 21:04:59,2025-07-04 21:16:53
EVT-202300063,TKT-184611066,ORD-63653415,CUST-199426,Sabine Fischer,fan78863@example.com,Volleyball,Final,Concert Tour 2024,Signal Iduna Park,Leipzig,2025-11-29,16:30:00,West,N1,21,Family,400.46,48.61,449.07,83.38,365.69,cash,PAID,2023-06-02,,early_departure,30.48,18.14,414.31,5.0,,False,Corporate,2023-08-23 09:46:30,2025-10-11 22:36:54
EVT-202300064,TKT-692749116,ORD-71903361,CUST-289720,Lukas Schulz,fan16773@example.com,Tennis,Friendly,Bundesliga 2024,SAP Arena,Leipzig,23/03/2022,12:30:00,Ost,B45,30,season_ticket,370.9,24.96,395.86,0.0,395.86,Bank Transfer,Failed,2023-08-26,True,late_arrival,178.42,18.32,592.6,3.0,28.0,False,,2023-07-01 04:32:33,2025-10-04 15:58:26
EVT-202300065,TKT-414797776,ORD-67400859,CUST-745856,Felix Weber,fan57039@gmx.de,Tennis,Show,RB Leipzig 2024,Signal Iduna Park,Cologne,2024-07-15,15:00:00,Block D,M37,11,Premium,175.15,30.93,206.08,0.0,206.08,invoice,Refunded,2022-05-03,False,Early Departure,259.46,39.18,504.72,,-76.0,False,Corporate,2023-02-20 02:52:58,2025-01-01 18:47:51
EVT-202300066,TKT-990566476,ORD-79748490,CUST-819793,Thomas Mensah,fan15401@yahoo.com,Volleyball,Festival,BVB 2024,Veltins-Arena,Dusseldorf,2025-09-03,20:00:00,West,X31,30,Season Ticket,310.35,40.8,351.15,0.0,351.15,Bank Transfer,cancelled,2023-01-02,,,108.48,8.75,468.38,,,False,Group booking,2023-02-21 15:28:57,2025-11-06 02:43:28
