student_id,enrollment_id,student_name,date_of_birth,age,gender,grade_level,major,enrollment_date,graduation_date,enrollment_status,gpa,credits_completed,credits_required,attendance_rate_pct,course_id,course_name,instructor_name,course_grade,course_credits,semester,academic_year,tuition_eur,financial_aid_eur,scholarship_eur,loan_amount_eur,payment_status,extracurricular_activities,discipline_incidents,counseling_sessions,career_services_used,internship_completed,job_placement,starting_salary_eur,alumni_donor,created_at
STU-202300010,ENR-572518,Daniel Meyer,1998-12-27,25,male,Sophomore,Nursing,2020-02-12,2025-12-29,ACTIVE,,108,180,72.09,CRS-9262,Fundamentals of Chemistry,Prof. Leon Becker,Withdrawn,1,FALL,2024-2025,11003.56,12243.49,5694.3,0.0,Deferred,Sports,3,1,False,True,military,,False,2023-04-17 08:42:00
STU-202300011,ENR-554113,Thomas Osei,2009-12-01,14,M,Graduate,Physics,2021-01-21,2024-06-19,Suspended,1.68,15,136,50.15,CRS-2486,Intermediate Physics,Prof. Michael Wagner,b_minus,4,SUMMER,2023-2024,5227.61,7352.28,7152.89,0.0,Deferred,Student Government,3,4,True,False,Unemployed,,True,2023-05-06 18:27:00
STU-202300012,ENR-957593,Hanna Schneider,2004-05-17,22,Non-binary,Freshman,Education,2021-03-31,2022-10-14,Transferred,3.29,83,151,51.89,CRS-8247,Fundamentals of Psychology,Prof. Sabine Fischer,B,3,SPRING,2020-2021,8764.93,998.63,0.0,37036.85,paid,N/A,4,8,True,False,EMPLOYED,,False,2023-01-10 19:04:00
STU-202300013,ENR-290798,Andreas Richter,2004-10-24,22,M,junior,undeclared,2023-03-17,2024-04-06,on_leave,2.6,140,174,99.8,CRS-7215,Principles of Biology,Prof. Sabine Schulz,c_minus,2,spring,2022-2023,5153.42,3133.95,0.0,0.0,deferred,debate,1,3,False,True,Unemployed,,True,2023-08-25 04:48:00
STU-202300014,ENR-416783,Andreas Klein,2002-09-22,20,Female,Junior,Physics,2023-01-28,2025-07-19,on_leave,3.85,181,158,74.65,CRS-1106,Introduction to Psychology,Prof. Paul Osei,a,6,fall,2025-2026,7488.63,12018.35,9616.32,0.0,Overdue,Research,4,4,True,False,military,81369.12,True,2023-06-09 22:44:00
STU-202300015,ENR-779312,Lukas Richter,2003-08-14,22,Male,sophomore,English,2020-03-22,2023-04-28,On Leave,2.21,96,120,76.86,CRS-7776,Principles of Biology,Prof. Max Weber,,3,summer,2025-2026,4380.61,8456.13,0.0,0.0,PAID,Sports,4,20,True,True,Unknown,33409.97,True,2023-08-11 20:01:00
STU-202300016,ENR-698924,Mia Klein,2010-07-16,24,MALE,Graduate,Mathematics,2024-04-20,05 Feb 2024,on_leave,2.18,170,140,61.86,CRS-9503,Principles of Mathematics,Prof. Max Schneider,d,2,Fall,2020-2021,11792.28,0.0,218.56,22250.75,Partial,debate,4,14,False,True,Further Education,97342.16,True,2023-06-03 19:27:00
STU-202300017,ENR-349729,Christina Richter,2006-12-19,15,Female,Freshman,Economics,2020-03-29,12/12/2022,Graduated,1.6,66,154,77.03,CRS-1406,Fundamentals of Engineering,Prof. Felix Becker,incomplete,4,spring,2025-2026,3574.65,1751.04,0.0,40116.2,deferred,volunteering,2,6,True,False,Further Education,32773.74,False,2023-05-23 14:20:00
STU-202300018,ENR-627768,Lukas Meyer,08 Mar 1999,14,Male,Senior,History,2025-05-29,2024-05-27,Graduated,3.88,166,139,56.87,CRS-7915,Fundamentals of Chemistry,Prof. Andreas Fischer,a,5,SUMMER,2024-2025,523.43,8454.43,0.0,34756.51,Deferred,none,0,17,True,False,military,,False,2023-06-10 04:54:00
STU-202300019,ENR-552545,Daniel Meyer,2005-03-07,20,Non-binary,Junior,Mathematics,2022-04-08,09/01/2025,graduated,,58,166,55.28,CRS-4376,Introduction to History,Prof. Michael Klein,,6,FALL,2025-2026,9803.89,7655.41,0.0,1693.88,overdue,Volunteering,2,2,False,False,NULL,49750.84,True,2023-02-02 19:12:00
STU-202300020,ENR-860198,Sophie Schmidt,2003-03-29,16,prefer_not_to_say,Sophomore,Computer Science,04/05/2024,2024-03-22,Transferred,2.1,152,134,55.48,CRS-4253,Principles of Psychology,Prof. Max Schneider,A-,2,SPRING,2022-2023,11611.07,12107.02,5377.33,3451.89,Pending,Debate,3,1,True,False,employed,69631.01,False,2023-12-26 01:13:00
STU-202300021,ENR-380335,Lukas Sowah,2003-07-19,16,M,Graduate,Economics,23/11/2024,2023-03-17,Suspended,3.37,40,178,54.9,CRS-4565,Principles of Psychology,Prof. Leon Schmidt,c_plus,1,SPRING,2021-2022,6121.39,0.0,0.0,1796.08,overdue,debate,1,19,False,True,employed,86012.93,True,2023-09-26 19:40:00
STU-202300022,ENR-698164,Sophie Klein,2008-07-29,23,female,Senior,undeclared,2023-01-11,22 Jan 2023,On Leave,2.07,94,147,77.15,CRS-4985,Principles of Psychology,Prof. Andreas Wagner,B+,1,fall,2022-2023,3516.0,0.0,0.0,34825.67,pending,debate,0,10,False,False,further_education,,False,2023-01-20 09:16:00
STU-202300023,ENR-221149,Anna Bauer,2001-04-18,21,Prefer not to say,Graduate,Computer Science,2023-08-06,2022-06-08,Withdrawn,1.38,138,168,97.11,CRS-6348,Fundamentals of Music,Prof. Lukas Klein,D,6,FALL,2022-2023,3264.09,1348.54,5467.56,36613.75,Pending,None,2,14,False,True,Employed,46664.16,False,2023-01-22 23:47:00
STU-202300024,ENR-630214,Thomas Schneider,2007-11-05,26,Prefer not to say,freshman,Psychology,2022-01-19,11/01/2022,Transferred,1.2,135,132,74.77,CRS-4627,Principles of Art,Prof. Anna Schmidt,Incomplete,4,FALL,2022-2023,1991.48,13912.91,225.35,7049.39,paid,Research,2,19,True,True,Further Education,73037.79,False,2023-11-09 11:04:00
STU-202300025,ENR-684572,Mia Koch,07-06-1995,26,non_binary,junior,Business,26 Feb 2022,2022-12-25,ACTIVE,1.11,197,128,82.22,CRS-5397,Intermediate Chemistry,Prof. Mia Osei,a_minus,5,spring,2020-2021,749.33,1536.86,0.0,0.0,Paid,Student Government,2,6,True,False,Further Education,70430.56,True,2023-07-04 07:54:00
STU-202300026,ENR-126054,Felix Schulz,2007-10-12,18,Male,Graduate,,2022-07-11,2024-09-21,graduated,,138,150,94.62,CRS-2599,Applied Literature,Prof. Sophie Schmidt,A-,4,summer,2025-2026,9985.58,0.0,4946.43,35176.22,deferred,Volunteering,1,14,False,True,,74087.08,True,2023-06-04 08:56:00
STU-202300027,ENR-102263,Sophie Wolf,2009-04-10,19,Non-binary,Senior,undeclared,2021-10-31,2024-09-23,withdrawn,3.41,39,134,85.21,CRS-7369,Fundamentals of Chemistry,Prof. Lukas Bauer,B-,2,fall,2020-2021,4245.96,0.0,0.0,0.0,partial,Sports,0,6,True,True,military,37215.2,False,2023-10-19 15:05:00
STU-202300028,ENR-496449,Lukas Weber,2004-05-13,26,,sophomore,Mathematics,09/14/2022,2024-09-24,Suspended,3.24,132,178,92.16,CRS-7127,Fundamentals of Chemistry,Prof. Mia Schmidt,F,3,Spring,2022-2023,14429.73,2676.31,0.0,38209.05,PAID,none,4,11,True,False,unemployed,,True,2023-11-12 17:56:00
STU-202300029,ENR-883404,Andreas Fischer,2009-02-06,25,Male,9,Music,2025-11-14,12 Mar 2022,ACTIVE,3.78,185,149,54.75,CRS-8847,Introduction to History,Prof. Lukas Wagner,C-,2,Fall,2020-2021,10908.39,8077.06,4930.51,0.0,Overdue,sports,2,9,True,True,Unemployed,70991.75,False,2023-12-25 05:12:00
STU-202300030,ENR-153635,Leon Richter,1996-12-29,15,female,sophomore,Music,2022-06-23,2025-02-03,On Leave,2.1,51,138,75.89,CRS-7733,Intermediate Programming,Prof. Felix Sowah,c_plus,4,Fall,2020-2021,12888.8,2301.9,3653.19,21187.16,Partial,Research,1,13,False,False,military,85217.82,True,2023-01-25 08:52:00
STU-202300031,ENR-171447,Anna Schneider,2004-07-29,19,Prefer not to say,sophomore,undeclared,16-06-2023,2022-04-03,withdrawn,,39,165,72.38,CRS-2497,Introduction to Biology,Prof. Michael Bauer,F,2,spring,2025-2026,2479.49,2902.1,0.0,0.0,overdue,Student Government,0,7,False,True,Unemployed,,False,2023-08-18 06:53:00
STU-202300032,ENR-509761,Leon Klein,2002-12-31,20,FEMALE,Junior,Education,12/07/2021,2022-02-24,suspended,1.23,197,171,76.38,CRS-7718,Principles of Art,Prof. Sarah Weber,D,1,Fall,2021-2022,10246.25,1913.29,0.0,34858.78,pending,Sports,4,8,True,False,employed,98265.68,True,2023-03-08 14:39:00
STU-202300033,ENR-903911,Thomas Becker,1995-08-28,28,Prefer not to say,sophomore,Mathematics,2022-08-21,2024-10-24,Suspended,1.76,108,151,90.86,CRS-8513,Principles of Literature,Prof. Anna Bauer,b_minus,5,Summer,2024-2025,11337.09,401.53,0.0,0.0,Paid,student_government,0,6,True,False,Unknown,,True,2023-09-16 15:19:00
STU-202300034,ENR-314171,Paul Meyer,25 Sep 2006,23,MALE,11,undeclared,26 Jul 2024,07-03-2024,Withdrawn,1.04,68,149,80.91,CRS-9876,Intermediate Biology,Prof. Mia Koch,B+,2,summer,2024-2025,12200.96,380.45,0.0,0.0,PAID,student_government,5,3,True,False,military,N/A,False,2023-08-18 22:14:00
STU-202300035,ENR-471991,Mia Richter,2001-09-11,24,F,9,Undeclared,2020-08-31,2023-12-28,On Leave,1.62,67,161,74.82,CRS-7210,Introduction to Literature,Prof. Daniel Muller,C,5,FALL,2021-2022,5773.28,8824.66,8954.9,1428.18,pending,Music,5,3,True,True,unemployed,,True,2023-09-18 09:36:00
STU-202300036,ENR-412642,Sabine Fischer,2006-11-08,28,female,sophomore,Computer Science,2024-03-21,2024-10-26,suspended,2.29,172,147,88.72,CRS-6915,Principles of Business,Prof. Sophie Becker,f,3,Spring,2021-2022,8778.15,0.0,0.0,41327.61,deferred,student_government,0,4,True,False,Military,65323.51,True,2023-11-20 19:55:00
STU-202300037,ENR-878672,Sophie Weber,1998-08-16,23,MALE,9,Nursing,2022-05-22,2024-07-03,Suspended,1.71,42,180,93.99,CRS-7114,Applied Economics,Prof. Felix Klein,C-,1,Fall,2023-2024,7432.53,0.0,8626.28,0.0,PAID,Sports,5,5,True,True,unemployed,,False,2023-07-05 15:23:00
STU-202300038,ENR-220760,Max Weber,2009-07-30,27,M,12,Music,2020-03-24,11/05/2023,Active,2.23,115,169,58.65,CRS-4185,Intermediate Chemistry,Prof. Sarah Klein,Incomplete,5,Summer,2025-2026,12206.41,2746.02,9700.1,30585.73,PAID,research,2,16,False,False,Further Education,,False,2023-05-08 06:02:00
STU-202300039,ENR-649815,Leon Klein,2008-11-05,25,Prefer not to say,10,Chemistry,25 Jul 2025,09/22/2025,on_leave,1.96,104,149,96.16,CRS-1484,Applied Biology,Prof. Michael Bauer,a,4,FALL,2024-2025,12334.2,4923.08,0.0,0.0,PAID,None,3,4,False,False,EMPLOYED,67336.55,False,2023-02-22 20:05:00
STU-202300040,ENR-581545,Hanna Schulz,2001-08-18,25,M,senior,Undeclared,2025-10-29,2025-05-31,graduated,1.23,73,171,71.84,CRS-3253,Introduction to Physics,Prof. Sabine Wolf,C-,6,FALL,2020-2021,11388.58,13407.53,6035.76,2824.87,PAID,music,0,3,True,False,Military,53262.16,True,2023-06-04 14:10:00
STU-202300041,ENR-321787,Lukas Hoffmann,2001-08-13,17,,Sophomore,Economics,2023-09-21,2024-05-06,On Leave,,51,168,54.1,CRS-4127,Applied Engineering,Prof. Thomas Schmidt,,5,SUMMER,2021-2022,7285.94,0.0,0.0,0.0,pending,volunteering,5,1,False,True,employed,,True,2023-10-19 00:45:00
STU-202300042,ENR-396808,Sabine Koch,2010-11-12,24,non_binary,Senior,Engineering,2024-05-28,2023-01-29,Transferred,3.74,30,127,78.3,CRS-9235,Introduction to Psychology,Prof. Leon Fischer,c_minus,1,summer,2025-2026,5059.63,0.0,3550.61,0.0,Paid,Debate,5,19,True,True,,65916.85,True,2023-08-07 03:16:00
STU-202300043,ENR-267443,Max Schmidt,2006-07-24,27,F,10,Business,2020-09-18,2022-12-12,transferred,NA,45,146,66.46,CRS-1360,Fundamentals of Programming,Prof. Hanna Sowah,d,6,Summer,2021-2022,6858.15,0.0,1416.3,9007.53,Deferred,Student Government,1,11,False,False,unknown,36685.98,False,2023-01-02 07:59:00
STU-202300044,ENR-654767,Max Hoffmann,1996-02-11,21,non_binary,graduate,Nursing,2022-03-12,05 Sep 2024,Active,3.6,47,134,88.02,CRS-5615,Fundamentals of Psychology,Prof. Mia Schneider,a_minus,6,spring,2021-2022,2258.41,7847.49,5572.3,0.0,PAID,research,1,10,True,False,Military,,True,2023-07-05 22:33:00
STU-202300045,ENR-721906,Lukas Wagner,2001-10-10,30,F,Freshman,English,15-08-2020,2023-06-30,on_leave,3.98,167,125,60.08,CRS-4663,Intermediate Chemistry,Prof. Hanna Muller,c_plus,6,SUMMER,2021-2022,8382.14,6012.0,5815.5,0.0,pending,Volunteering,3,10,False,False,Unemployed,52969.3,False,2023-06-28 23:45:00
STU-202300046,ENR-457273,Sabine Bauer,23 Jun 2006,16,FEMALE,Freshman,History,2022-07-31,2024-07-28,suspended,2.61,110,170,79.91,CRS-8189,Applied Mathematics,Prof. Mia Schmidt,c,2,summer,2025-2026,12108.72,0.0,0.0,31819.33,paid,debate,5,0,False,True,Unemployed,88805.2,True,2023-02-23 17:14:00
STU-202300047,ENR-313383,Mia Schulz,1996-01-08,22,male,sophomore,Nursing,07-09-2021,2025-06-25,Graduated,1.58,126,135,56.14,CRS-7050,Advanced Psychology,Prof. Thomas Hoffmann,C+,2,spring,2022-2023,7503.05,7592.03,5611.31,0.0,Paid,Volunteering,0,4,True,True,Military,,False,2023-11-21 02:21:00
STU-202300048,ENR-662146,Max Becker,2008-02-28,14,Prefer not to say,graduate,Business,2023-04-12,2022-08-19,ACTIVE,3.61,197,179,77.2,CRS-7084,Principles of Physics,Prof. Petra Sowah,b_plus,2,Summer,2025-2026,3409.8,4383.15,2464.93,10287.11,paid,Sports,4,19,False,False,Military,,False,2023-09-01 17:58:00
STU-202300049,ENR-297343,Leon Bauer,2010-12-17,16,non_binary,Junior,Biology,09-02-2020,2022-06-01,suspended,3.57,129,151,65.96,CRS-9017,Introduction to Chemistry,Prof. Emma Muller,incomplete,6,Summer,2022-2023,2960.76,11068.88,5981.86,30638.89,paid,sports,2,9,False,False,further_education,,False,2023-03-03 10:47:00
STU-202300050,ENR-129664,Sophie Schneider,12/18/2002,24,M,9,Business,2023-11-25,2022-09-07,withdrawn,,123,164,93.32,CRS-6415,Introduction to Programming,Prof. Max Klein,N/A,5,fall,2025-2026,14887.22,0.0,0.0,5207.01,Overdue,none,0,1,False,False,unemployed,58021.63,False,2023-03-17 07:46:00
STU-202300051,ENR-743974,Leon Schmidt,24-02-1996,21,Prefer not to say,junior,undeclared,2021-08-14,2024-11-10,Suspended,2.21,51,132,95.1,CRS-4711,Introduction to Engineering,Prof. Andreas Muller,b,1,SPRING,2022-2023,3879.16,13492.05,0.0,225.58,pending,sports,0,20,True,True,Unknown,70439.13,False,2023-06-13 23:02:00
STU-202300052,ENR-253719,Sabine Osei,2010-08-28,30,prefer_not_to_say,senior,,2021-05-02,2024-07-02,Suspended,3.5,117,145,52.9,CRS-8010,Fundamentals of Business,Prof. Sophie Koch,c_plus,3,fall,2024-2025,7765.27,9744.5,4055.14,47694.25,deferred,Volunteering,4,19,False,False,Further Education,,True,2023-07-12 19:11:00
STU-202300053,ENR-277241,Anna Muller,1996-05-13,17,Female,Graduate,undeclared,2020-10-12,2022-10-28,Withdrawn,3.89,24,176,66.08,CRS-2465,Advanced Business,Prof. Petra Meyer,A-,1,Fall,2023-2024,13794.87,0.0,2205.27,45556.93,Pending,music,5,18,False,True,unknown,48206.38,False,2023-08-06 16:18:00
STU-202300054,ENR-379385,Petra Muller,2007-08-26,30,female,,Music,2020-02-26,2023-08-25,transferred,2.94,65,126,52.59,CRS-4886,Applied History,Prof. Lukas Schulz,b_minus,5,spring,2022-2023,10083.42,10670.3,0.0,0.0,Deferred,,1,7,True,False,Unknown,,True,2023-08-04 17:43:00
STU-202300055,ENR-202798,Michael Wagner,2004-05-28,22,female,12,Biology,2022-09-18,2024-07-29,transferred,1.27,5,171,89.9,CRS-8144,Fundamentals of Physics,Prof. Mia Schneider,withdrawn,5,FALL,2021-2022,12675.31,3290.22,0.0,0.0,Partial,research,4,2,False,False,Employed,,True,2023-01-20 14:03:00
STU-202300056,ENR-452928,Daniel Sowah,2004-02-02,18,F,sophomore,,2022-12-22,2025-02-15,Withdrawn,2.81,3,154,67.0,CRS-8956,Advanced Biology,Prof. Andreas Koch,B+,5,Summer,2023-2024,4575.99,12953.18,7493.94,8776.74,Deferred,Student Government,2,18,True,True,Employed,86880.12,False,2023-07-14 04:44:00
STU-202300057,ENR-290912,Sophie Hoffmann,1999-12-13,24,Male,Senior,Music,2024-06-06,2025-12-30,transferred,2.99,22,176,81.76,CRS-4816,Introduction to Art,Prof. Christina Fischer,B-,3,FALL,2023-2024,7373.94,0.0,0.0,10743.0,deferred,research,2,4,True,True,Unemployed,91009.65,False,2023-10-26 20:18:00
STU-202300058,ENR-704015,Petra Bauer,2000-05-16,27,female,Freshman,Biology,2025-09-14,2025-08-13,on_leave,3.89,182,167,-91.07,CRS-9417,Applied Mathematics,Prof. Thomas Wolf,c_plus,4,fall,2024-2025,4418.68,0.0,4769.83,36170.15,PAID,,0,17,False,False,further_education,N/A,True,2023-09-10 14:42:00
STU-202300059,ENR-893161,Max Koch,19/10/2009,15,M,10,Business,11/06/2025,2023-11-13,Transferred,3.74,83,152,62.36,CRS-9649,Fundamentals of Mathematics,Prof. Christina Bauer,B-,5,FALL,2021-2022,8450.87,165.22,0.0,0.0,partial,Sports,2,20,True,True,Unemployed,,False,2023-06-23 09:55:00
STU-202300060,ENR-948685,Sarah Becker,2000-05-13,16,FEMALE,sophomore,Psychology,2022-06-16,2022-09-03,graduated,2.67,91,167,67.52,CRS-4158,Advanced Business,Prof. Petra Sowah,A,3,FALL,2024-2025,9465.47,0.0,3671.56,0.0,paid,none,2,0,True,True,unknown,,False,2023-03-12 01:21:00
STU-202300061,ENR-573615,Sarah Richter,1999-10-10,28,Male,9,Education,2023-03-02,2022-08-08,Transferred,3.25,31,149,87.54,CRS-3865,Intermediate Programming,Prof. Sarah Hoffmann,a,1,Summer,2021-2022,5168.41,14899.48,7337.07,0.0,pending,none,1,3,True,True,unknown,61445.26,False,2023-06-20 10:21:00
STU-202300062,ENR-638178,Emma Muller,2002-02-21,22,prefer_not_to_say,12,Biology,2023-06-13,2025-09-24,Graduated,1.53,33,130,86.07,CRS-7686,Fundamentals of Literature,Prof. Sabine Richter,d,2,Fall,2024-2025,12757.46,6129.42,4664.61,6556.76,partial,debate,4,4,True,False,Unemployed,,False,2023-04-22 02:05:00
STU-202300063,ENR-568976,Sabine Sowah,2002-11-12,30,prefer_not_to_say,graduate,Education,25 Jun 2023,2024-02-26,withdrawn,,99,155,97.28,CRS-5675,Principles of Programming,Prof. Emma Sowah,Incomplete,6,fall,2020-2021,4299.25,13389.17,0.0,28324.61,overdue,music,0,3,False,True,Employed,83913.85,False,2023-06-20 02:59:00
STU-202300064,ENR-790959,Max Weber,2009-06-14,26,male,12,English,2022-01-10,2023-02-05,transferred,3.39,180,121,64.35,CRS-4794,Intermediate Economics,Prof. Sophie Muller,C,4,FALL,2021-2022,7948.06,0.0,0.0,0.0,pending,music,4,1,True,False,NULL,58015.75,True,2023-04-24 12:30:00
STU-202300065,ENR-985180,Thomas Wolf,2003-06-11,22,male,sophomore,Education,24/09/2025,2025-08-12,active,2.25,113,127,52.48,CRS-1168,Advanced Mathematics,Prof. Felix Koch,Withdrawn,3,summer,2024-2025,5912.12,8416.37,0.0,0.0,overdue,none,2,0,False,True,Employed,,True,2023-11-23 06:40:00
STU-202300066,ENR-763651,Lukas Koch,10/21/2007,29,Prefer not to say,freshman,undeclared,2023-09-10,2025-12-14,Graduated,1.37,58,142,84.71,CRS-4136,Introduction to History,Prof. Sabine Wolf,B-,4,FALL,2020-2021,2031.19,3677.7,3463.26,44129.56,paid,student_government,3,20,False,True,Employed,N/A,False,2023-08-22 15:48:00
STU-202300067,ENR-676217,Michael Weber,2008-10-20,27,M,graduate,Business,2024-02-27,2022-03-21,on_leave,3.08,125,169,76.74,CRS-8992,Intermediate Literature,Prof. Emma Osei,A-,4,SUMMER,2022-2023,8398.24,0.0,0.0,24222.73,Paid,sports,0,16,True,False,unknown,98725.27,False,2023-03-18 15:12:00
STU-202300068,ENR-811635,Christina Osei,2002-02-14,21,Prefer not to say,freshman,Nursing,2025-02-07,2025-09-10,Graduated,3.74,78,161,69.14,CRS-2459,Introduction to Mathematics,Prof. Thomas Wolf,B+,5,summer,2024-2025,13563.04,4824.57,7759.01,18263.15,partial,sports,0,18,True,True,Military,81803.94,False,2023-11-17 15:09:00
STU-202300069,ENR-768263,Christina Wagner,1997-10-30,29,female,Junior,Engineering,2020-05-04,2024-04-29,active,NA,50,139,50.57,CRS-9036,Introduction to Literature,Prof. Anna Schulz,Incomplete,1,FALL,2021-2022,9328.94,0.0,0.0,22005.53,pending,sports,1,12,False,False,employed,,True,2023-03-01 05:11:00
STU-202300070,ENR-340554,Daniel Sowah,2003-10-09,24,F,junior,Economics,2022-11-12,09-07-2022,Graduated,1.19,39,173,80.21,CRS-9107,Fundamentals of History,Prof. Petra Weber,F,2,Summer,2022-2023,13722.84,0.0,0.0,0.0,overdue,Student Government,0,11,True,True,further_education,N/A,False,2023-02-15 04:47:00
STU-202300071,ENR-856037,Max Osei,2008-02-18,23,FEMALE,9,Mathematics,19-10-2023,2024-07-29,Suspended,1.83,143,121,62.93,CRS-8417,Intermediate Psychology,Prof. Michael Weber,A-,2,Summer,2021-2022,12355.06,0.0,7355.57,38686.81,Pending,music,0,4,True,True,Unknown,95042.41,True,2023-06-26 18:46:00
STU-202300072,ENR-895747,Mia Hoffmann,2001-08-15,22,female,Freshman,Mathematics,2022-01-15,05/20/2023,withdrawn,1.18,89,172,72.45,CRS-7972,Fundamentals of Art,Prof. Anna Koch,C,5,SPRING,2023-2024,722.74,0.0,4741.96,9891.68,partial,Debate,5,6,True,False,unemployed,,True,2023-10-28 22:19:00
STU-202300073,ENR-235063,Paul Sowah,1997-04-25,14,female,sophomore,History,28 Jul 2025,08 Oct 2025,Withdrawn,3.9,36,133,98.63,CRS-7261,Fundamentals of Biology,Prof. Michael Bauer,C,1,Fall,2024-2025,5561.77,5118.32,691.83,14130.15,deferred,Volunteering,4,11,False,True,,51652.01,False,2023-03-01 10:53:00
STU-202300074,ENR-627331,Sarah Schmidt,1998-08-04,25,MALE,,Psychology,2020-04-01,06/06/2024,Suspended,,146,127,56.86,CRS-9320,Advanced Engineering,Prof. Michael Becker,D,6,Summer,2020-2021,1385.24,1269.42,6633.75,0.0,pending,Sports,3,7,False,False,,,True,2023-07-23 17:23:00
STU-202300075,ENR-903390,Paul Wolf,2010-01-07,21,Non-binary,Senior,Undeclared,2025-02-07,2025-05-14,Transferred,2.23,121,162,51.03,CRS-1944,Fundamentals of Physics,Prof. Anna Koch,c_plus,3,SUMMER,2024-2025,4499.04,13468.5,0.0,0.0,Overdue,Student Government,0,11,False,True,unemployed,79567.32,True,2023-07-13 14:31:00
STU-202300076,ENR-656952,Felix Meyer,1999-02-19,25,female,Junior,Psychology,2024-05-11,30/08/2025,on_leave,2.41,6,177,77.41,CRS-1570,Advanced Art,Prof. Christina Schmidt,a,1,FALL,2025-2026,7311.82,1292.52,3913.8,1969.49,Deferred,student_government,3,13,True,False,employed,53885.56,True,2023-12-27 04:08:00
