transaction_id,account_id,customer_id,customer_name,account_type,account_status,transaction_type,transaction_date,amount,currency,balance_after,transaction_channel,branch_city,merchant_name,payment_method,is_international,fee_amount,risk_score,fraud_flag,aml_check_status,kyc_status,credit_score,customer_segment,ip_address,created_at
TXN-20230000032,ACC-185278614,CUST-309491,Lisa Klein,Credit Card,Frozen,Refund,2022-07-03,36328.38,CHF,75112.68,SEPA,Nuremberg,NULL,sepa,False,0.0,48.19,True,Manual Review,verified,652.0,Business,129.63.8.188,2023-05-26 16:02:00
TXN-20230000033,ACC-671323975,CUST-360806,Emma Becker,Mortgage,Dormant,Fee,2024-02-20,44826.13,EUR,435740.16,SEPA,Dortmund,Netflix,sepa,False,3.26,12.29,False,Failed,Expired,432.0,Retail,18.209.79.36,2023-12-28 06:21:00
TXN-20230000034,ACC-405093514,CUST-401548,Leon Boateng,Investment,Dormant,Fee,2024-10-21,-47453.05,CHF,12890.3,Branch,Stuttgart,Netflix,SEPA,False,0.0,23.14,False,Failed,Verified,648.0,Corporate,168.11.35.94,2023-04-03 03:20:00
TXN-20230000035,ACC-727997224,CUST-341716,Lukas Wolf,Checking,Frozen,Withdrawal,2023-12-02,-2790395.0132988407,PLN,22688.28,Direct Debit,Duisburg,EDEKA,Debit Card,True,0.0,90.12,True,passed,verified,398.0,Corporate,160.0.224.213,2023-11-15 05:53:00
TXN-20230000036,ACC-281073621,CUST-486149,Mia Weber,Mortgage,active,Interest,2022-06-28,2131.32,GBP,498748.72,Branch,Frankfurt,Lidl,Cash,False,0.0,39.66,False,Failed,Verified,835.0,Premium,135.52.128.181,2023-01-24 08:28:00
TXN-20230000037,ACC-877160511,CUST-777903,Paul Wolf,Credit Card,Frozen,Withdrawal,14/08/2025,27769.26,GBP,317351.78,Phone,Bremen,Lidl,sepa,False,20.53,68.51,True,Manual Review,Verified,792.0,Business,71.173.133.232,2023-03-09 05:12:00
TXN-20230000038,ACC-766110483,CUST-846811,Lisa Weber,Savings,Closed,Interest,2025-01-02,-43231.65,GBP,368436.43,ATM,Hanover,Netflix,Debit Card,False,22.97,28.89,True,Skipped,Pending,615.0,Private Banking,197.95.142.186,2023-02-26 22:03:00
TXN-20230000039,ACC-237650821,CUST-820899,Sarah Fischer,Investment,Dormant,Withdrawal,31-12-2024,32724.73,PLN,145506.18,Mobile App,Stuttgart,Shell,Bank Transfer,False,0.0,21.34,False,Skipped,Expired,697.0,Premium,52.174.254.110,2023-07-04 11:13:00
TXN-20230000040,ACC-909559415,CUST-394217,Leon Becker,Savings,Active,Payment,12/29/2025,41102.53,CHF,165601.31,Mobile App,Munich,REWE,Credit Card,True,0.0,71.8,True,Passed,Not Required,494.0,Premium,87.19.165.170,2023-06-05 16:15:00
TXN-20230000041,ACC-938375691,CUST-650658,Sophie Muller,Savings,Dormant,Interest,2024-11-09,15513.23,EUR,121169.38,Branch,Stuttgart,Lidl,Credit Card,True,1.47,41.52,False,Skipped,Expired,779.0,Business,166.208.13.38,2023-06-28 12:47:00
TXN-20230000042,ACC-236998358,CUST-140046,Mia Fischer,Loan,Dormant,Payment,2022-02-10,40256.79,EUR,454090.68,SEPA,Dresden,EDEKA,Credit Card,True,0.0,32.95,True,Passed,Not Required,,Premium,141.143.88.137,2023-01-28 06:17:00
TXN-20230000043,ACC-124721638,CUST-701942,Sarah Weber,Mortgage,Active,Transfer,01/23/2022,-41303.55,GBP,318807.92,Phone,Nuremberg,Netflix,Debit Card,False,0.0,30.33,True,Manual Review,Pending,,Premium,190.169.130.69,2023-09-08 13:17:00
TXN-20230000044,ACC-608821177,CUST-257224,Emma Boateng,Mortgage,Dormant,Interest,2023-09-20,-17743.74,GBP,466707.91,ATM,Hanover,REWE,Bank Transfer,False,15.44,16.46,False,passed,Verified,,Business,154.147.119.178,2023-10-02 13:44:00
TXN-20230000045,ACC-412597980,CUST-439173,Mia Klein,Investment,Closed,Withdrawal,13-11-2025,11910.79,USD,137259.33,Mobile App,Bremen,Deutsche Bahn,Cash,True,0.0,22.9,False,Pending,Not Required,443.0,Business,94.133.240.41,2023-03-06 04:14:00
TXN-20230000046,ACC-636027083,CUST-115655,Max Muller,Mortgage,Active,Fee,2024-04-17,-34034.38,USD,29164.46,Online,Frankfurt,REWE,Bank Transfer,False,2.17,66.28,False,Passed,verified,356.0,Premium,131.8.152.114,2023-08-07 04:29:00
TXN-20230000047,ACC-689290765,CUST-452918,Sabine Richter,Savings,ACTIVE,Transfer,2025-02-22,-8698.81,EUR,384680.01,Mobile App,Berlin,Deutsche Bahn,Cash,True,0.0,63.3,True,Skipped,Not Required,420.0,Private Banking,68.224.79.227,2023-03-11 07:47:00
TXN-20230000048,ACC-823540929,CUST-921047,Lisa Richter,Checking,active,Refund,2025-08-10,-37037.22,EUR,285104.14,ATM,Essen,Deutsche Bahn,sepa,False,20.18,49.61,True,passed,verified,,Business,21.96.202.88,2023-06-07 11:02:00
TXN-20230000049,ACC-758009471,CUST-575178,Andreas Agyeman,Credit Card,ACTIVE,Interest,20-04-2023,45538.14,USD,120481.27,SEPA,Hanover,MediaMarkt,sepa,True,8.89,74.13,False,Passed,Pending,793.0,Private Banking,76.112.185.230,2023-08-22 01:36:00
TXN-20230000050,ACC-893473203,CUST-205395,Max Becker,Loan,Active,Payment,2023-04-05,-21908.6,GBP,120377.37,SEPA,Nuremberg,Amazon,Cash,True,0.0,75.45,False,Pending,Not Required,393.0,Private Banking,144.124.28.198,2023-07-09 07:20:00
TXN-20230000051,ACC-487298931,CUST-779808,Anna Wagner,Savings,Frozen,Fee,2022-09-22,-7922.85,PLN,252480.5,ATM,Bremen,,Bank Transfer,True,0.0,8.03,False,Failed,verified,,Private Banking,238.225.28.58,2023-03-19 03:43:00
TXN-20230000052,ACC-528634317,CUST-843485,Lukas Agyeman,Investment,Closed,Withdrawal,05/03/2023,36586.22,USD,370682.67,Direct Debit,Duisburg,REWE,SEPA,True,20.65,55.28,False,Skipped,Pending,792.0,Business,254.194.20.133,2023-03-15 03:05:00
TXN-20230000053,ACC-392592043,CUST-195063,Sophie Richter,Savings,active,Interest,2022-11-13,-24396.88,CHF,309631.83,Mobile App,Frankfurt,,sepa,False,0.0,46.24,True,Passed,Expired,806.0,Private Banking,250.31.181.37,2023-12-19 17:04:00
TXN-20230000054,ACC-672277152,CUST-136527,Daniel Weber,Mortgage,Active,Fee,2023-01-25,49319.78,GBP,444662.67,Branch,Dortmund,EDEKA,Debit Card,True,0.0,92.36,False,Passed,Pending,609.0,Premium,153.78.23.79,2023-05-02 08:06:00
TXN-20230000055,ACC-844176667,CUST-106908,Emma Osei,Credit Card,Active,Transfer,2024-08-23,31860.35,EUR,232856.95,Branch,Berlin,,Cash,False,0.0,2.59,False,passed,Pending,,Premium,48.32.206.148,2023-03-13 04:43:00
TXN-20230000056,ACC-418652082,CUST-651609,Felix Schneider,Investment,Closed,Deposit,2025-02-27,29466.26,USD,347396.74,Mobile App,Munich,REWE,Bank Transfer,False,11.84,61.06,False,Manual Review,Verified,,Business,114.47.16.69,2023-06-15 19:42:00
TXN-20230000057,ACC-899360956,CUST-973013,Lisa Becker,Investment,Dormant,Withdrawal,04/08/2024,-29379.3,GBP,208106.18,Online,Bremen,REWE,Credit Card,False,0.0,35.62,False,passed,verified,638.0,Private Banking,188.106.52.33,2023-01-11 21:39:00
TXN-20230000058,ACC-540286235,CUST-295833,Sarah Fischer,Mortgage,Frozen,Interest,14 Mar 2025,-6533.08,CHF,185478.43,Phone,Hamburg,NULL,SEPA,True,0.0,55.79,False,passed,Pending,750.0,Corporate,32.12.24.247,2023-11-07 00:45:00
TXN-20230000059,ACC-455978654,CUST-962290,Lukas Sowah,Loan,Frozen,Fee,02/01/2023,-44326.23,USD,97339.57,Mobile App,Bremen,NULL,Cash,False,0.0,46.57,False,Pending,verified,510.0,Business,253.19.179.230,2023-06-21 05:18:00
TXN-20230000060,ACC-180722130,CUST-264106,Felix Fischer,Checking,Frozen,Deposit,2022-11-15,646.75,EUR,67805.42,Direct Debit,Berlin,Amazon,Debit Card,True,0.0,81.44,True,Skipped,Not Required,518.0,Premium,76.217.54.163,2023-12-11 16:16:00
TXN-20230000061,ACC-876071830,CUST-929965,Christina Fischer,Investment,Closed,Interest,2025-11-20,-42670.77,CHF,495187.25,Branch,Stuttgart,Aldi,Cash,False,0.0,92.6,False,Skipped,Expired,824.0,Premium,43.180.219.88,2023-10-14 21:02:00
TXN-20230000062,ACC-214777412,CUST-844660,Petra Osei,Credit Card,Closed,Payment,2023-01-08,20456.54,PLN,191564.01,SEPA,Frankfurt,Shell,SEPA,False,0.0,14.09,False,Manual Review,Verified,,Private Banking,148.201.135.221,2023-09-05 07:33:00
TXN-20230000063,ACC-828879899,CUST-103200,Daniel Schneider,Loan,Frozen,Transfer,2025-04-23,-21229.43,PLN,468753.49,SEPA,Hamburg,Netflix,Cash,True,0.0,15.55,False,passed,Expired,679.0,Corporate,204.199.155.5,2023-03-10 04:45:00
TXN-20230000064,ACC-221155308,CUST-846794,Mia Boateng,Investment,Active,Interest,2023-02-14,9973.64,USD,358670.03,Direct Debit,Nuremberg,Shell,sepa,False,19.65,17.1,True,Pending,Verified,667.0,Private Banking,129.21.225.209,2023-05-09 23:03:00
TXN-20230000065,ACC-678708304,CUST-272183,Paul Schmidt,Investment,ACTIVE,Deposit,05/27/2024,-4770.39,CHF,138827.54,ATM,Nuremberg,Shell,Debit Card,True,0.0,77.48,True,passed,verified,672.0,Retail,37.183.130.11,2023-10-03 08:03:00
TXN-20230000066,ACC-467068221,CUST-809275,Lukas Koch,Loan,Dormant,Transfer,2022-08-31,-13360.58,EUR,50125.07,Phone,Bremen,EDEKA,Credit Card,False,0.0,6.34,False,Manual Review,Expired,733.0,Premium,120.166.116.116,2023-02-04 03:10:00
TXN-20230000067,ACC-252455628,CUST-175603,Lisa Schmidt,Credit Card,Frozen,Payment,2023-04-03,39812.23,GBP,106991.06,Phone,Hanover,Deutsche Bahn,Cash,False,18.08,31.82,False,Pending,Expired,,Private Banking,16.77.3.54,2023-02-03 04:48:00
TXN-20230000068,ACC-206259449,CUST-490274,Michael Koch,Mortgage,Closed,Deposit,2024-01-19,47150.41,USD,474046.42,Mobile App,Leipzig,REWE,Debit Card,False,4.79,53.11,False,passed,Not Required,804.0,Premium,159.164.108.162,2023-06-10 19:26:00
TXN-20230000069,ACC-747581308,CUST-835035,Max Klein,Mortgage,Frozen,Deposit,2025-05-05,-28929.38,CHF,473319.39,Phone,Cologne,MediaMarkt,Cash,True,0.0,16.66,True,passed,Verified,586.0,Business,191.178.86.190,2023-12-09 10:42:00
TXN-20230000070,ACC-588551928,CUST-694621,Paul Schneider,Savings,ACTIVE,Interest,2025-01-22,-33968.79,GBP,469437.51,Phone,Dresden,Deutsche Bahn,Debit Card,True,10.94,52.73,True,Skipped,Pending,349.0,Premium,134.155.83.33,2023-10-27 15:42:00
TXN-20230000071,ACC-205056756,CUST-195267,Thomas Schneider,Mortgage,ACTIVE,Payment,2022-06-01,-2139.65,USD,175536.53,Phone,Berlin,Aldi,Bank Transfer,False,7.76,2.01,False,Pending,Verified,,Retail,8.200.36.233,2023-04-04 20:35:00
TXN-20230000072,ACC-783105339,CUST-474770,Sarah Klein,Investment,Active,Withdrawal,2022-02-24,32255.7,USD,281154.91,Online,Berlin,Amazon,Bank Transfer,False,5.81,22.69,False,Failed,Not Required,,Premium,109.64.39.188,2023-09-02 02:40:00
TXN-20230000073,ACC-939870407,CUST-165057,Thomas Richter,Checking,ACTIVE,Refund,2023-08-21,27960.16,GBP,4786.67,ATM,Hanover,MediaMarkt,sepa,True,0.0,88.16,True,Manual Review,verified,,Retail,140.72.182.151,2023-09-20 05:54:00
TXN-20230000074,ACC-637116779,CUST-863849,Felix Muller,Savings,Active,Deposit,2025-01-31,-43655.03,GBP,363971.99,SEPA,Nuremberg,Amazon,sepa,False,0.0,9.61,False,passed,verified,850.0,Business,166.153.191.63,2023-06-07 16:24:00
TXN-20230000075,ACC-443838047,CUST-349147,Thomas Sowah,Checking,ACTIVE,Interest,2023-08-27,-5441.92,GBP,261288.33,ATM,Stuttgart,Aldi,Bank Transfer,False,0.0,26.11,False,Manual Review,Not Required,,Private Banking,58.179.62.254,2023-07-26 22:20:00
TXN-20230000076,ACC-188406838,CUST-613056,Petra Fischer,Investment,Closed,Transfer,30 Aug 2022,-17930.82,GBP,137799.71,Mobile App,Essen,Amazon,Cash,True,0.0,11.73,True,Passed,Not Required,,Private Banking,196.160.9.122,2023-07-19 11:06:00
TXN-20230000077,ACC-915652981,CUST-648792,Petra Klein,Checking,Closed,Transfer,2022-09-10,27625.31,USD,403474.71,Direct Debit,Hanover,Amazon,Bank Transfer,False,3.31,25.21,False,Pending,verified,,Private Banking,78.3.19.65,2023-04-14 18:01:00
TXN-20230000078,ACC-593357270,CUST-226359,Lisa Richter,Investment,Frozen,Payment,25 Dec 2023,22895.86,USD,281793.42,Phone,Stuttgart,MediaMarkt,Debit Card,False,0.0,90.15,True,Pending,Pending,,Business,170.168.194.184,2023-01-15 17:13:00
TXN-20230000079,ACC-249316777,CUST-761795,David Becker,Checking,Frozen,Withdrawal,2022-07-15,6165.88,USD,215322.84,ATM,Essen,NULL,Bank Transfer,True,0.0,51.64,False,Failed,Verified,654.0,Retail,226.1.200.43,2023-03-28 00:52:00
TXN-20230000080,ACC-785442927,CUST-359981,Christina Agyeman,Credit Card,active,Refund,2025-09-23,23030.11,PLN,37605.11,Phone,Essen,EDEKA,SEPA,True,13.59,85.73,False,Manual Review,Pending,,Private Banking,100.153.190.87,2023-11-28 09:54:00
TXN-20230000081,ACC-823495548,CUST-264690,Thomas Schmidt,Credit Card,ACTIVE,Fee,2025-07-17,-37918.42,USD,235191.48,Phone,Frankfurt,,sepa,True,3.31,47.58,True,Failed,Expired,596.0,Premium,15.36.235.167,2023-10-25 21:40:00
TXN-20230000082,ACC-705354729,CUST-819643,Leon Weber,Checking,Active,Payment,2024-06-11,-9258.99,PLN,162310.89,Direct Debit,Bremen,Deutsche Bahn,SEPA,False,0.0,23.54,True,Manual Review,verified,,Premium,195.15.153.1,2023-01-13 12:10:00
TXN-20230000083,ACC-582270589,CUST-903989,Anna Fischer,Mortgage,ACTIVE,Transfer,2025-10-19,-11463.51,PLN,303863.08,ATM,Stuttgart,Shell,Bank Transfer,False,0.0,25.82,False,Manual Review,Expired,414.0,Business,23.63.144.83,2023-11-26 03:34:00
TXN-20230000084,ACC-491866794,CUST-683247,Petra Agyeman,Checking,ACTIVE,Refund,2023-02-07,24571.19,GBP,243907.17,Mobile App,Bremen,Lidl,SEPA,False,10.1,65.84,True,Skipped,Pending,320.0,Premium,128.8.188.220,2023-10-24 01:52:00
TXN-20230000085,ACC-825792721,CUST-399039,Anna Wagner,Checking,Dormant,Refund,2023-12-02,-31735.29,USD,59498.71,ATM,Dortmund,Shell,Debit Card,True,22.63,0.94,False,Pending,verified,827.0,Private Banking,120.140.236.104,2023-04-08 08:54:00
TXN-20230000086,ACC-693253842,CUST-582840,Sarah Schmidt,Checking,Frozen,Fee,12/07/2022,39808.34,GBP,258212.14,Mobile App,Hamburg,EDEKA,Credit Card,False,18.35,80.28,True,passed,Expired,345.0,Business,138.143.104.46,2023-12-08 14:15:00
TXN-20230000087,ACC-440866858,CUST-484179,Leon Hoffmann,Savings,active,Transfer,2023-03-05,-13437.22,PLN,318228.96,Phone,Munich,Shell,Credit Card,True,0.0,42.27,False,Failed,Expired,,Corporate,116.108.6.124,2023-04-28 06:06:00
TXN-20230000088,ACC-575617805,CUST-228697,Petra Fischer,Checking,Active,Fee,04/23/2022,2125.89,GBP,436602.67,ATM,Stuttgart,,SEPA,True,0.0,30.07,True,Pending,Pending,477.0,Corporate,189.199.22.156,2023-06-14 05:30:00
TXN-20230000089,ACC-991714085,CUST-634597,Sarah Wagner,Checking,active,Deposit,19/12/2025,5607.86,GBP,290844.57,ATM,Frankfurt,Amazon,sepa,False,0.0,83.88,False,passed,Not Required,505.0,Private Banking,210.252.255.37,2023-10-05 11:58:00
TXN-20230000090,ACC-778442424,CUST-213960,Emma Wolf,Checking,ACTIVE,Deposit,2024-01-27,36410.7,PLN,216548.38,Branch,Nuremberg,MediaMarkt,SEPA,False,15.07,26.36,False,Passed,Verified,,Premium,76.74.93.246,2023-06-04 07:48:00
TXN-20230000091,ACC-488867684,CUST-531873,Felix Becker,Credit Card,Active,Fee,2024-05-12,-37613.92,CHF,495719.95,Online,Bremen,Shell,Bank Transfer,False,0.0,16.06,True,Skipped,Verified,449.0,Corporate,66.205.58.136,2023-03-04 12:42:00
TXN-20230000092,ACC-657614481,CUST-786013,Michael Weber,Savings,Frozen,Refund,2023-05-18,34608.23,EUR,359476.37,Online,Frankfurt,EDEKA,Cash,True,0.0,88.48,False,Manual Review,Expired,,Private Banking,33.32.39.253,2023-09-25 13:36:00
TXN-20230000093,ACC-369575746,CUST-888262,Daniel Weber,Investment,Closed,Withdrawal,01 Jul 2024,49333.36,PLN,45667.89,Mobile App,Cologne,Deutsche Bahn,Cash,True,0.0,57.45,False,Skipped,Pending,664.0,Business,145.63.255.3,2023-01-20 08:25:00
TXN-20230000094,ACC-515845295,CUST-234767,Daniel Fischer,Investment,ACTIVE,Refund,04/10/2025,-20249.47,GBP,70640.87,Branch,Essen,,Bank Transfer,True,0.0,16.91,False,Passed,verified,558.0,Premium,210.144.168.42,2023-06-24 22:07:00
TXN-20230000095,ACC-366063855,CUST-857348,Sabine Becker,Mortgage,Frozen,Payment,2024-02-12,32768.86,EUR,87938.91,Online,Dresden,Lidl,Credit Card,False,0.0,55.08,True,passed,Not Required,478.0,Private Banking,116.136.54.173,2023-02-12 14:55:00
TXN-20230000096,ACC-872294182,CUST-217234,Sabine Fischer,Investment,Dormant,Fee,2022-11-16,49147.18,USD,217063.01,Phone,Leipzig,Amazon,Cash,True,0.0,66.54,True,Passed,Not Required,,Private Banking,27.216.157.154,2023-04-28 14:13:00
TXN-20230000097,ACC-784991481,CUST-680735,Sabine Wagner,Checking,Dormant,Payment,2025-06-11,26336.92,CHF,463255.84,ATM,Berlin,,SEPA,True,2.3,52.54,False,Failed,verified,573.0,Business,114.128.249.224,2023-12-24 16:26:00
TXN-20230000098,ACC-551507399,CUST-845359,Daniel Koch,Mortgage,Dormant,Fee,2024-05-14,-18985.26,CHF,328743.92,Online,Hamburg,Lidl,sepa,False,2.46,65.66,True,Passed,Expired,365.0,Private Banking,187.35.250.17,2023-07-17 15:42:00
TXN-20230000099,ACC-857609675,CUST-753995,Paul Wagner,Checking,Active,Refund,2022-11-06,7387.12,GBP,10394.48,SEPA,Essen,Netflix,Cash,True,0.0,60.6,True,Pending,Expired,500.0,Business,39.60.181.25,2023-04-06 18:19:00
